model_variant,certificate_family,radius_type,p_flip,radius,certified_accuracy,p_delete,p_add,max_additions,certified_nodes,evaluated_nodes
clean-training,symmetric,symmetric,0.02,0,0.16666666666666666,,,,,
clean-training,symmetric,symmetric,0.02,1,0.041666666666666664,,,,,
clean-training,symmetric,symmetric,0.02,2,0.0,,,,,
clean-training,symmetric,symmetric,0.02,3,0.0,,,,,
clean-training,symmetric,symmetric,0.02,4,0.0,,,,,
clean-training,symmetric,symmetric,0.02,5,0.0,,,,,
clean-training,symmetric,symmetric,0.05,0,0.125,,,,,
clean-training,symmetric,symmetric,0.05,1,0.125,,,,,
clean-training,symmetric,symmetric,0.05,2,0.0,,,,,
clean-training,symmetric,symmetric,0.05,3,0.0,,,,,
clean-training,symmetric,symmetric,0.05,4,0.0,,,,,
clean-training,symmetric,symmetric,0.05,5,0.0,,,,,
clean-training,symmetric,symmetric,0.1,0,0.125,,,,,
clean-training,symmetric,symmetric,0.1,1,0.125,,,,,
clean-training,symmetric,symmetric,0.1,2,0.125,,,,,
clean-training,symmetric,symmetric,0.1,3,0.0,,,,,
clean-training,symmetric,symmetric,0.1,4,0.0,,,,,
clean-training,symmetric,symmetric,0.1,5,0.0,,,,,
clean-training,symmetric,symmetric,0.2,0,0.125,,,,,
clean-training,symmetric,symmetric,0.2,1,0.125,,,,,
clean-training,symmetric,symmetric,0.2,2,0.125,,,,,
clean-training,symmetric,symmetric,0.2,3,0.125,,,,,
clean-training,symmetric,symmetric,0.2,4,0.125,,,,,
clean-training,symmetric,symmetric,0.2,5,0.0,,,,,
clean-training,sparse-asymmetric,total,,0,1.0,0.02,1e-05,96,24,24
clean-training,sparse-asymmetric,total,,1,0.6666666666666666,0.02,1e-05,96,16,24
clean-training,sparse-asymmetric,total,,2,0.0,0.02,1e-05,96,0,24
clean-training,sparse-asymmetric,total,,3,0.0,0.02,1e-05,96,0,24
clean-training,sparse-asymmetric,total,,4,0.0,0.02,1e-05,96,0,24
clean-training,sparse-asymmetric,total,,5,0.0,0.02,1e-05,96,0,24
clean-training,sparse-asymmetric,deletion_only,,0,1.0,0.02,1e-05,96,24,24
clean-training,sparse-asymmetric,deletion_only,,1,0.6666666666666666,0.02,1e-05,96,16,24
clean-training,sparse-asymmetric,deletion_only,,2,0.0,0.02,1e-05,96,0,24
clean-training,sparse-asymmetric,deletion_only,,3,0.0,0.02,1e-05,96,0,24
