p_flip,node_idx,degree,degree_bucket,clean_confidence,clean_margin,margin_bucket,predicted_class,true_label,abstained,is_correct,certified_radius,reported_certified_radius,reported_asymmetric_total_radius,reported_asymmetric_delete_budget,reported_asymmetric_add_budget,reported_runner_up_asymmetric_total_radius,smoothed_confidence,pA_lower
0.02,2149,1,0,0.1714380979537964,0.020730584859848022,0,1,3,False,False,0,0,0,0,0,0,0.915,0.8926388756455863
0.02,2255,1,0,0.18131409585475922,0.008382901549339294,0,1,1,False,True,0,0,0,0,0,0,0.939,0.9194386771009336
0.02,2313,2,0,0.17068354785442352,0.004431873559951782,0,1,2,False,False,0,0,0,0,0,0,0.987,0.9764147804104861
0.02,1922,2,0,0.2935769259929657,0.15763846039772034,1,1,0,False,False,0,0,0,0,0,0,0.859,0.8317909855298641
0.02,2403,2,0,0.30109331011772156,0.14637431502342224,1,1,3,False,False,0,0,0,0,0,0,0.672,0.6365997793788568
0.02,2475,2,0,0.29460737109184265,0.14832498133182526,1,1,3,False,False,0,0,0,0,0,0,0.826,0.7966390431243141
0.02,1866,2,0,0.42917388677597046,0.31396134197711945,2,1,3,False,False,0,0,0,0,0,0,0.5415,0.5044846977423056
0.02,2315,1,0,0.4482472240924835,0.31316138803958893,2,3,3,False,True,0,0,0,0,0,0,0.853,0.82536814897744
0.02,2488,1,0,0.4410214424133301,0.3117549270391464,2,1,1,False,True,1,1,0,0,0,0,0.999,0.9939894201208139
0.02,1995,4,1,0.1894836574792862,0.024889051914215088,0,1,3,False,False,0,0,0,0,0,0,0.929,0.9081983924424177
0.02,2201,3,1,0.19283708930015564,0.020348355174064636,0,1,0,False,False,0,0,0,0,0,0,0.921,0.8992847033160402
0.02,2654,3,1,0.17908594012260437,0.011954590678215027,0,1,2,False,False,0,0,0,0,0,0,0.883,0.8576476540939697
0.02,1820,3,1,0.3078114092350006,0.17813237011432648,1,1,3,False,False,0,0,0,0,0,0,0.655,0.6192329775640069
0.02,2673,3,1,0.30339574813842773,0.15532942116260529,1,1,4,False,False,0,0,0,0,0,0,0.885,0.8598156291381339
0.02,2682,2,1,0.30368611216545105,0.1534389704465866,1,1,4,False,False,0,0,0,0,0,0,0.922,0.9003954940332141
0.02,1828,4,1,0.4510190188884735,0.3146202862262726,2,1,5,False,False,0,0,0,0,0,0,0.8155,0.7855354697133552
0.02,1960,4,1,0.4386470317840576,0.3160039484500885,2,1,5,False,False,0,0,0,0,0,0,0.7685,0.7362296230820318
0.02,2576,3,1,0.4382535219192505,0.3252485990524292,2,1,0,False,False,0,0,0,0,0,0,0.904,0.8805314514887519
0.02,2195,4,2,0.1936844438314438,0.008668556809425354,0,1,0,False,False,0,0,0,0,0,0,0.9835,0.9719114931244642
0.02,2326,4,2,0.20141872763633728,0.004923209547996521,0,1,1,False,True,0,0,0,0,0,0,0.98,0.9675132633018415
0.02,1873,5,2,0.2862834334373474,0.15001171827316284,1,1,3,False,False,0,0,0,0,0,0,0.866,0.8393040772919196
0.02,2295,5,2,0.31276193261146545,0.16602948307991028,1,1,0,False,False,0,0,0,0,0,0,0.908,0.8849234286510252
0.02,1824,8,2,0.43872857093811035,0.31453486531972885,2,1,5,False,False,0,0,0,0,0,0,0.8245,0.7950506124495292
0.02,2518,7,2,0.44398993253707886,0.31936177611351013,2,1,4,False,False,0,0,0,0,0,0,0.936,0.9160539499709595
0.05,2149,1,0,0.1714380979537964,0.020730584859848022,0,1,3,False,False,1,0,0,0,0,0,0.9995,0.9950118925598964
