model_variant,attack_variant,target_node,p_flip,beta,clean_abstained,attacked_abstained,clean_certified_radius,attacked_certified_radius,clean_reported_certified_radius,attacked_reported_certified_radius,clean_reported_asymmetric_total_radius,attacked_reported_asymmetric_total_radius,clean_reported_asymmetric_delete_budget,attacked_reported_asymmetric_delete_budget,clean_reported_asymmetric_add_budget,attacked_reported_asymmetric_add_budget,clean_reported_runner_up_asymmetric_total_radius,attacked_reported_runner_up_asymmetric_total_radius,clean_runner_up_radius,attacked_runner_up_radius,clean_pA_lower,attacked_pA_lower,clean_pred,attacked_pred,clean_is_correct,attacked_is_correct,true_label
clean-training,clean-training,2488,0.01,0.01,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9866828513167056,0.8909822541542283,1,1,True,True,1
clean-training,clean-training,2488,0.02,0.02,False,False,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.9962067613450979,0.9939894201208139,1,1,True,True,1
clean-training,clean-training,2488,0.05,0.05,False,False,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.9962067613450979,0.9962067613450979,1,1,True,True,1
clean-training,clean-training,2488,0.1,0.1,False,False,2,2,2,2,0,0,0,0,0,0,0,0,2,2,0.9962067613450979,0.9962067613450979,1,1,True,True,1
matched-sparse-noisy-training,matched-sparse-noisy-training,2149,0.01,0.01,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7770989298155415,0.7828969424856387,3,0,True,False,3
matched-sparse-noisy-training,matched-sparse-noisy-training,2149,0.02,0.02,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8723267529186584,0.4570415312635769,3,3,True,True,3
matched-sparse-noisy-training,matched-sparse-noisy-training,2149,0.05,0.05,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9712774757879833,0.8668773386070749,3,3,True,True,3
matched-sparse-noisy-training,matched-sparse-noisy-training,2149,0.1,0.1,False,False,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.9921680080642201,0.9866828513167056,3,3,True,True,3
clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,2488,0.01,0.01,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9859553296094573,0.8959578260173542,1,1,True,True,1
clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,2488,0.02,0.02,False,False,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.9962067613450979,0.993052004795509,1,1,True,True,1
clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,2488,0.05,0.05,False,False,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.9962067613450979,0.9962067613450979,1,1,True,True,1
clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,2488,0.1,0.1,False,False,2,2,2,2,0,0,0,0,0,0,0,0,2,2,0.9962067613450979,0.9962067613450979,1,1,True,True,1
