summary_type,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower
fixed-config,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.5454545454545454,0.5454545454545454,0.09090909090909091,1,0.9854166079399023
fixed-config,clean-training,clean-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.5454545454545454,0.5454545454545454,0.18181818181818182,1,0.9778031656816342
fixed-config,clean-training,clean-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.5454545454545454,0.5454545454545454,0.18181818181818182,1,0.9593597571962579
fixed-config,clean-training,clean-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
fixed-config,clean-training,clean-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
fixed-config,clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
fixed-config,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.5454545454545454,0.5454545454545454,0.18181818181818182,1,0.9857271812410118
fixed-config,clean-training,clean-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.5454545454545454,0.5454545454545454,0.18181818181818182,1,0.9766868934994949
fixed-config,clean-training,clean-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.5454545454545454,0.5454545454545454,0.18181818181818182,1,0.9600343026022503
fixed-config,clean-training,clean-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
fixed-config,clean-training,clean-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
fixed-config,clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
fixed-config,clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.6363636363636364,0.6363636363636364,0.09090909090909091,1,0.9846934404276447
fixed-config,clean-training,clean-training,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.6363636363636364,0.6363636363636364,0.09090909090909091,1,0.9730090749145851
fixed-config,clean-training,clean-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.6363636363636364,0.6363636363636364,0.18181818181818182,1,0.9525314618140581
fixed-config,clean-training,clean-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
fixed-config,clean-training,clean-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
fixed-config,clean-training,clean-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.16666666666666666,1,0.9872097570771129
fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.4166666666666667,1,0.9793765623355087
fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.4166666666666667,1,0.9597820259988646
fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.3333333333333333,4,0.9962067613450979
