model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,num_seeds,seeds,evaluated_nodes_mean,evaluated_nodes_std,evaluated_nodes_sample_std,evaluated_nodes_sem,evaluated_nodes_ci95_half_width,evaluated_nodes_ci95_low,evaluated_nodes_ci95_high,evaluated_nodes_min,evaluated_nodes_max,purified_plain_correct_fraction_mean,purified_plain_correct_fraction_std,purified_plain_correct_fraction_sample_std,purified_plain_correct_fraction_sem,purified_plain_correct_fraction_ci95_half_width,purified_plain_correct_fraction_ci95_low,purified_plain_correct_fraction_ci95_high,purified_plain_correct_fraction_min,purified_plain_correct_fraction_max,correct_fraction_mean,correct_fraction_std,correct_fraction_sample_std,correct_fraction_sem,correct_fraction_ci95_half_width,correct_fraction_ci95_low,correct_fraction_ci95_high,correct_fraction_min,correct_fraction_max,positive_certified_fraction_mean,positive_certified_fraction_std,positive_certified_fraction_sample_std,positive_certified_fraction_sem,positive_certified_fraction_ci95_half_width,positive_certified_fraction_ci95_low,positive_certified_fraction_ci95_high,positive_certified_fraction_min,positive_certified_fraction_max,max_reported_radius_mean,max_reported_radius_std,max_reported_radius_sample_std,max_reported_radius_sem,max_reported_radius_ci95_half_width,max_reported_radius_ci95_low,max_reported_radius_ci95_high,max_reported_radius_min,max_reported_radius_max,mean_pA_lower_mean,mean_pA_lower_std,mean_pA_lower_sample_std,mean_pA_lower_sem,mean_pA_lower_ci95_half_width,mean_pA_lower_ci95_low,mean_pA_lower_ci95_high,mean_pA_lower_min,mean_pA_lower_max
clean-training,clean-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.15303030303030302,0.059149155442251924,0.06613076619028847,0.029574577721125962,0.05796617233340688,0.09506413069689613,0.2109964753637099,0.09090909090909091,0.25,0.13636363636363635,0.03711348095126027,0.04149413314433076,0.01855674047563013,0.03637121133223506,0.0999924250314013,0.1727348476958714,0.09090909090909091,0.16666666666666666,3.4,1.2000000000000002,1.3416407864998738,0.6,1.176,2.224,4.576,1.0,4.0,0.9619475550916743,0.06761304403525985,0.07559368131426386,0.033806522017629924,0.06626078315455465,0.8956867719371197,1.028208338246229,0.8267239368513496,0.9962067613450979
clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.22424242424242422,0.12508949963969873,0.1398543122329009,0.06254474981984937,0.12258770964690476,0.10165471459551946,0.346830133889329,0.0,0.3333333333333333,0.8,0.4,0.4472135954999579,0.19999999999999998,0.39199999999999996,0.4080000000000001,1.192,0.0,1.0,0.98544114134252,0.0030038450740598665,0.003358400889737876,0.0015019225370299333,0.002943768172578669,0.9824973731699413,0.9883849095150987,0.98114413657487,0.9904127718110654
clean-training,clean-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.2075757575757576,0.0692011348282984,0.07736922079810173,0.0346005674141492,0.06781711213173243,0.13975864544402516,0.27539286970749005,0.08333333333333333,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9768944241837385,0.005082128479046067,0.005681992374767311,0.0025410642395230338,0.004980485909465146,0.9719139382742734,0.9818749100932036,0.9698999641264671,0.9854688691933928
clean-training,clean-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.25757575757575757,0.11608473520835125,0.1297866795379683,0.05804236760417562,0.1137630405041842,0.14381271707157336,0.37133879807994175,0.08333333333333333,0.4166666666666667,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9574443540035175,0.009577964028163933,0.010708489326511132,0.004788982014081966,0.009386404747600654,0.9480579492559168,0.9668307587511181,0.9457138245501557,0.9743643559181514
clean-training,clean-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.15303030303030302,0.059149155442251924,0.06613076619028847,0.029574577721125962,0.05796617233340688,0.09506413069689613,0.2109964753637099,0.09090909090909091,0.25,0.13636363636363635,0.03711348095126027,0.04149413314433076,0.01855674047563013,0.03637121133223506,0.0999924250314013,0.1727348476958714,0.09090909090909091,0.16666666666666666,3.4,1.2000000000000002,1.3416407864998738,0.6,1.176,2.224,4.576,1.0,4.0,0.9626344248701587,0.06665031600541635,0.0745173186549766,0.033325158002708175,0.06531730968530802,0.8973171151848507,1.0279517345554667,0.8293346325124928,0.9962067613450979
clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.15303030303030302,0.059149155442251924,0.06613076619028847,0.029574577721125962,0.05796617233340688,0.09506413069689613,0.2109964753637099,0.09090909090909091,0.25,0.15303030303030302,0.059149155442251924,0.06613076619028847,0.029574577721125962,0.05796617233340688,0.09506413069689613,0.2109964753637099,0.09090909090909091,0.25,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.9777789451992287,0.03685563229173834,0.041205849579031645,0.01842781614586917,0.036118519645903575,0.9416604255533251,1.0138974648451322,0.904067680615752,0.9962067613450979
clean-training,clean-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.15303030303030302,0.059149155442251924,0.06613076619028847,0.029574577721125962,0.05796617233340688,0.09506413069689613,0.2109964753637099,0.09090909090909091,0.25,0.13636363636363635,0.03711348095126027,0.04149413314433076,0.01855674047563013,0.03637121133223506,0.0999924250314013,0.1727348476958714,0.09090909090909091,0.16666666666666666,3.4,1.2000000000000002,1.3416407864998738,0.6,1.176,2.224,4.576,1.0,4.0,0.9622726612522724,0.06719688211329608,0.07512839814068488,0.03359844105664804,0.06585294447103016,0.8964197167812422,1.0281256057233026,0.8278809134943753,0.9962067613450979
clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.17272727272727273,0.053224751728031205,0.059507081474713584,0.0266123758640156,0.052160256693470575,0.12056701603380215,0.2248875294207433,0.08333333333333333,0.25,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9856420294381489,0.0024606720425985533,0.0027511149787918117,0.0012303360212992766,0.0024114586017465823,0.9832305708364023,0.9880534880398956,0.9822636986495424,0.9895688775578518
clean-training,clean-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.2409090909090909,0.09635220057930087,0.10772503513850569,0.048176100289650435,0.09442515656771486,0.14648393434137605,0.33533424747680574,0.08333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9770083720822903,0.004064217801614268,0.004543933639887129,0.002032108900807134,0.003982933445581983,0.9730254386367083,0.9809913055278723,0.9727699570170568,0.9845068468227943
clean-training,clean-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,5,7; 21; 42; 84; 99,11.6,0.48989794855663565,0.5477225575051662,0.24494897427831783,0.48009998958550293,11.119900010414497,12.080099989585502,11.0,12.0,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.5833333333333333,0.14237587831313345,0.15918107113220223,0.07118793915656671,0.13952836074687075,0.4438049725864625,0.722861694080204,0.4166666666666667,0.75,0.2590909090909091,0.10599565110541033,0.1185067405955241,0.05299782555270516,0.10387573808330211,0.15521517100760698,0.36296664717421123,0.08333333333333333,0.4166666666666667,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9572087757814618,0.010681685808404716,0.01194248779094387,0.005340842904202357,0.01046805209223662,0.9467407236892251,0.9676768278736985,0.9425938949310599,0.975401552356709
