seed,summary_type,model_variant,attack_variant,threshold,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,positive_certified_fraction,mean_reported_radius,max_reported_radius,mean_pA_lower,mean_target_edge_retention,nodes_with_correct_config,nodes_without_correct_config,correct_selected_config_counts
7,oracle-best-correct,clean-training,clean-training,0.01,12,0.75,0.9166666666666666,0.5833333333333334,1.1666666666666667,5,0.971543477657521,0.4715277777777778,11,1,sparse-asym-0.01:8; symmetric-0.3:3
7,oracle-best-correct,clean-training,clean-training,0.02,12,0.75,0.9166666666666666,0.5833333333333334,1.1666666666666667,5,0.9723735346824416,0.4715277777777778,11,1,sparse-asym-0.01:7; sparse-asym-0.02:1; symmetric-0.3:3
7,oracle-best-correct,clean-training,clean-training,0.05,12,0.9166666666666666,0.9166666666666666,0.5833333333333334,1.0833333333333333,4,0.9767763072166469,0.2884920634920635,11,1,sparse-asym-0.01:7; sparse-asym-0.02:1; symmetric-0.3:3
7,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,11,0.6363636363636364,0.7272727272727273,0.5454545454545454,1.3636363636363635,5,0.9774516803939174,0.30876623376623374,8,3,sparse-asym-0.01:4; sparse-asym-0.02:1; symmetric-0.3:3
7,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,11,0.6363636363636364,0.7272727272727273,0.5454545454545454,1.3636363636363635,5,0.975911868903948,0.30876623376623374,8,3,sparse-asym-0.01:4; sparse-asym-0.05:1; symmetric-0.3:3
7,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,11,0.6363636363636364,0.7272727272727273,0.45454545454545453,1.2727272727272727,5,0.9774054378164085,0.24134199134199133,8,3,sparse-asym-0.01:5; symmetric-0.3:3
7,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,12,0.6666666666666666,0.8333333333333334,0.4166666666666667,0.4166666666666667,1,0.9352369419617635,0.43162393162393164,10,2,sparse-asym-0.01:6; sparse-asym-0.05:2; symmetric-0.3:2
7,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,12,0.6666666666666666,0.8333333333333334,0.4166666666666667,0.4166666666666667,1,0.9334904870926252,0.43162393162393164,10,2,sparse-asym-0.01:7; sparse-asym-0.05:1; symmetric-0.3:2
7,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,12,0.75,0.9166666666666666,0.4166666666666667,0.4166666666666667,1,0.9331006732338682,0.3156288156288156,11,1,sparse-asym-0.01:8; sparse-asym-0.05:1; symmetric-0.3:2
21,oracle-best-correct,clean-training,clean-training,0.01,11,0.5454545454545454,0.5454545454545454,0.2727272727272727,0.6363636363636364,5,0.9849291948907329,0.33874458874458874,6,5,sparse-asym-0.01:4; sparse-asym-0.02:1; symmetric-0.3:1
21,oracle-best-correct,clean-training,clean-training,0.02,11,0.5454545454545454,0.5454545454545454,0.2727272727272727,0.6363636363636364,5,0.9842181897524657,0.33874458874458874,6,5,sparse-asym-0.01:4; sparse-asym-0.02:1; symmetric-0.3:1
21,oracle-best-correct,clean-training,clean-training,0.05,11,0.7272727272727273,0.7272727272727273,0.36363636363636365,0.7272727272727273,5,0.983727864028832,0.2387445887445887,8,3,sparse-asym-0.01:6; sparse-asym-0.02:1; symmetric-0.3:1
