p_flip,node_idx,degree,degree_bucket,clean_confidence,clean_margin,margin_bucket,predicted_class,true_label,abstained,is_correct,certified_radius,reported_certified_radius,reported_asymmetric_total_radius,reported_asymmetric_delete_budget,reported_asymmetric_add_budget,reported_runner_up_asymmetric_total_radius,smoothed_confidence,pA_lower
0.02,2149,1,0,0.1714380979537964,0.020730584859848022,0,3,3,False,True,0,0,0,0,0,0,0.895,0.8706902814892623
0.02,2255,1,0,0.18131409585475922,0.008382901549339294,0,3,1,False,False,0,0,0,0,0,0,0.9545,0.9371374923190633
0.02,2313,2,0,0.17068354785442352,0.004431873559951782,0,3,2,False,False,0,0,0,0,0,0,0.87,0.8436073427407261
0.02,1922,2,0,0.2935769259929657,0.15763846039772034,1,3,0,False,False,0,0,0,0,0,0,0.6265,0.5902279127622481
0.02,2403,2,0,0.30109331011772156,0.14637431502342224,1,3,3,False,True,0,0,0,0,0,0,0.993,0.9845258210124248
0.02,2475,2,0,0.29460737109184265,0.14832498133182526,1,3,3,False,True,0,0,0,0,0,0,0.98,0.9675132633018415
0.02,1866,2,0,0.42917388677597046,0.31396134197711945,2,3,3,False,True,1,1,0,0,0,0,1.0,0.9962067613450979
0.02,2315,1,0,0.4482472240924835,0.31316138803958893,2,3,3,False,True,1,1,0,0,0,0,1.0,0.9962067613450979
0.02,2488,1,0,0.4410214424133301,0.3117549270391464,2,3,1,False,False,0,0,0,0,0,0,0.635,0.5988644828446066
0.02,1995,4,1,0.1894836574792862,0.024889051914215088,0,3,3,False,True,0,0,0,0,0,0,0.937,0.917180918852273
0.02,2201,3,1,0.19283708930015564,0.020348355174064636,0,3,0,False,False,0,0,0,0,0,0,0.8415,0.8130985186873245
0.02,2654,3,1,0.17908594012260437,0.011954590678215027,0,3,2,False,False,0,0,0,0,0,0,0.673,0.637622930756576
0.02,1820,3,1,0.3078114092350006,0.17813237011432648,1,3,3,False,True,0,0,0,0,0,0,0.9855,0.9744697177389934
0.02,2673,3,1,0.30339574813842773,0.15532942116260529,1,3,4,False,False,0,0,0,0,0,0,0.7155,0.6812768822246855
0.02,2682,2,1,0.30368611216545105,0.1534389704465866,1,3,4,False,False,0,0,0,0,0,0,0.7185,0.6843714383563193
0.02,1828,4,1,0.4510190188884735,0.3146202862262726,2,3,5,False,False,0,0,0,0,0,0,0.7295,0.6957337883947023
0.02,1960,4,1,0.4386470317840576,0.3160039484500885,2,3,5,False,False,0,0,0,0,0,0,0.8745,0.8484577119402773
0.02,2576,3,1,0.4382535219192505,0.3252485990524292,2,0,0,False,True,0,0,0,0,0,0,0.6315,0.595306820446001
0.02,2195,4,2,0.1936844438314438,0.008668556809425354,0,3,0,False,False,0,0,0,0,0,0,0.713,0.6786994574914973
0.02,2326,4,2,0.20141872763633728,0.004923209547996521,0,3,1,False,False,0,0,0,0,0,0,0.908,0.8849234286510252
0.02,1873,5,2,0.2862834334373474,0.15001171827316284,1,3,3,False,True,0,0,0,0,0,0,0.9905,0.9810668571443686
0.02,2295,5,2,0.31276193261146545,0.16602948307991028,1,3,0,False,False,0,0,0,0,0,0,0.559,0.522047799857887
0.02,1824,8,2,0.43872857093811035,0.31453486531972885,2,3,5,False,False,0,0,0,0,0,0,0.9345,0.9143658073360642
0.02,2518,7,2,0.44398993253707886,0.31936177611351013,2,3,4,False,False,0,0,0,0,0,0,0.639,0.6029328476577251
0.05,2149,1,0,0.1714380979537964,0.020730584859848022,0,3,3,False,True,0,0,0,0,0,0,0.9705,0.9559308357461146
0.05,2255,1,0,0.18131409585475922,0.008382901549339294,0,3,1,False,False,1,0,0,0,0,0,0.9945,0.9866828513167056
0.05,2313,2,0,0.17068354785442352,0.004431873559951782,0,3,2,False,False,0,0,0,0,0,0,0.9685,0.9535413412039192
0.05,1922,2,0,0.2935769259929657,0.15763846039772034,1,3,0,False,False,0,0,0,0,0,0,0.876,0.8500767378940306
0.05,2403,2,0,0.30109331011772156,0.14637431502342224,1,3,3,False,True,1,1,0,0,0,0,1.0,0.9962067613450979
0.05,2475,2,0,0.29460737109184265,0.14832498133182526,1,3,3,False,True,1,1,0,0,0,0,0.9955,0.9881691118432345
0.05,1866,2,0,0.42917388677597046,0.31396134197711945,2,3,3,False,True,1,1,0,0,0,0,1.0,0.9962067613450979
0.05,2315,1,0,0.4482472240924835,0.31316138803958893,2,3,3,False,True,1,1,0,0,0,0,1.0,0.9962067613450979
0.05,2488,1,0,0.4410214424133301,0.3117549270391464,2,3,1,False,False,0,0,0,0,0,0,0.8685,0.8419927341674582
0.05,1995,4,1,0.1894836574792862,0.024889051914215088,0,3,3,False,True,1,1,0,0,0,0,0.9855,0.9744697177389934
0.05,2201,3,1,0.19283708930015564,0.020348355174064636,0,3,0,False,False,0,0,0,0,0,0,0.9675,0.9523517119620712
0.05,2654,3,1,0.17908594012260437,0.011954590678215027,0,3,2,False,False,0,0,0,0,0,0,0.8885,0.8636150234140876
0.05,1820,3,1,0.3078114092350006,0.17813237011432648,1,3,3,False,True,1,1,0,0,0,0,0.998,0.9921680080642201
0.05,2673,3,1,0.30339574813842773,0.15532942116260529,1,3,4,False,False,0,0,0,0,0,0,0.9425,0.9234026305785046
0.05,2682,2,1,0.30368611216545105,0.1534389704465866,1,3,4,False,False,0,0,0,0,0,0,0.9495,0.9313849490204635
0.05,1828,4,1,0.4510190188884735,0.3146202862262726,2,3,5,False,False,0,0,0,0,0,0,0.932,0.9115581843645513
0.05,1960,4,1,0.4386470317840576,0.3160039484500885,2,3,5,False,False,1,0,0,0,0,0,0.9905,0.9810668571443686
0.05,2576,3,1,0.4382535219192505,0.3252485990524292,2,3,0,False,False,0,0,0,0,0,0,0.763,0.7304975511051086
0.05,2195,4,2,0.1936844438314438,0.008668556809425354,0,3,0,False,False,0,0,0,0,0,0,0.9245,0.9031766305956735
0.05,2326,4,2,0.20141872763633728,0.004923209547996521,0,3,1,False,False,0,0,0,0,0,0,0.98,0.9675132633018415
0.05,1873,5,2,0.2862834334373474,0.15001171827316284,1,3,3,False,True,1,1,0,0,0,0,0.9995,0.9950118925598964
0.05,2295,5,2,0.31276193261146545,0.16602948307991028,1,3,0,False,False,0,0,0,0,0,0,0.826,0.7966390431243141
0.05,1824,8,2,0.43872857093811035,0.31453486531972885,2,3,5,False,False,1,0,0,0,0,0,0.9935,0.9852366279448626
0.05,2518,7,2,0.44398993253707886,0.31936177611351013,2,3,4,False,False,0,0,0,0,0,0,0.9475,0.9290963405140634
0.1,2149,1,0,0.1714380979537964,0.020730584859848022,0,3,3,False,True,2,2,0,0,0,0,0.9995,0.9950118925598964
0.1,2255,1,0,0.18131409585475922,0.008382901549339294,0,3,1,False,False,2,0,0,0,0,0,1.0,0.9962067613450979
0.1,2313,2,0,0.17068354785442352,0.004431873559951782,0,3,2,False,False,1,0,0,0,0,0,0.996,0.9889309833255824
0.1,1922,2,0,0.2935769259929657,0.15763846039772034,1,3,0,False,False,1,0,0,0,0,0,0.974,0.9601489215405409
0.1,2403,2,0,0.30109331011772156,0.14637431502342224,1,3,3,False,True,2,2,0,0,0,0,1.0,0.9962067613450979
0.1,2475,2,0,0.29460737109184265,0.14832498133182526,1,3,3,False,True,2,2,0,0,0,0,0.999,0.9939894201208139
0.1,1866,2,0,0.42917388677597046,0.31396134197711945,2,3,3,False,True,2,2,0,0,0,0,1.0,0.9962067613450979
