p_flip,degree_bucket,evaluated_nodes,correct_fraction,abstained_fraction,non_abstain_accuracy,positive_certified_accuracy,certified_fraction_on_correct,mean_reported_radius_on_correct,mean_pA_lower,mean_smoothed_confidence,positive_delete_certified_accuracy,positive_add_certified_accuracy,delete_certified_fraction_on_correct,add_certified_fraction_on_correct,mean_delete_radius_on_correct,mean_add_radius_on_correct
0.02,0,9,0.5555555555555556,0.0,0.5555555555555556,0.2222222222222222,0.4,0.4,0.8649977910178187,0.8837777777777779,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1,9,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.760835414155239,0.789611111111111,0.0,0.0,0.0,0.0,0.0,0.0
0.02,2,6,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.7640060330230946,0.7906666666666667,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0,9,0.5555555555555556,0.0,0.5555555555555556,0.4444444444444444,0.8,0.8,0.9516682106896397,0.9637222222222223,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1,9,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,1.0,1.0,0.9178349592658187,0.9352222222222224,0.0,0.0,0.0,0.0,0.0,0.0
0.05,2,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.9294456330067753,0.9451666666666666,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0,9,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,1.0,2.0,0.9877555725501233,0.9942222222222222,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1,9,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,1.0,1.5,0.9831162012351312,0.9910555555555557,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,1.0,2.0,0.9855221848801441,0.9928333333333333,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0,9,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,1.0,4.0,0.9960739981467422,0.9999444444444444,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1,9,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,1.0,4.0,0.9959412349483865,0.9998888888888889,0.0,0.0,0.0,0.0,0.0,0.0
0.2,2,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,1.0,4.0,0.9960076165475643,0.9999166666666667,0.0,0.0,0.0,0.0,0.0,0.0
