epoch,loss,train,val,test,variant,noise_mode,noise_p_delete,noise_p_add,noise_max_additions
1,1.946557879447937,0.37857142857142856,0.214,0.25,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
2,1.9380066394805908,0.5428571428571428,0.258,0.303,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
3,1.9277561902999878,0.7,0.386,0.422,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
4,1.9199587106704712,0.8857142857142857,0.6,0.599,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
5,1.9048455953598022,0.9214285714285714,0.634,0.648,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
6,1.890634536743164,0.9071428571428571,0.652,0.658,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
7,1.8825435638427734,0.9142857142857143,0.684,0.697,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
8,1.8619790077209473,0.95,0.724,0.739,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
9,1.8524786233901978,0.9642857142857143,0.766,0.778,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
10,1.8343987464904785,0.9714285714285714,0.778,0.798,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
11,1.8152623176574707,0.9714285714285714,0.76,0.785,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
12,1.8040645122528076,0.9785714285714285,0.754,0.771,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
13,1.7758013010025024,0.9642857142857143,0.752,0.758,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
14,1.761220097541809,0.95,0.742,0.74,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
15,1.7404159307479858,0.9285714285714286,0.736,0.724,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
16,1.7180501222610474,0.9285714285714286,0.738,0.722,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
17,1.6946008205413818,0.9428571428571428,0.74,0.726,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
18,1.6727190017700195,0.9428571428571428,0.734,0.729,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
19,1.652382493019104,0.9428571428571428,0.74,0.739,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
20,1.6351959705352783,0.9642857142857143,0.75,0.75,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
