p_delete,p_add,max_additions,radius_type,radius,certified_nodes,evaluated_nodes,certified_accuracy
0.02,1e-05,96,total,0,24,24,1.0
0.02,1e-05,96,total,1,16,24,0.6666666666666666
0.02,1e-05,96,total,2,0,24,0.0
0.02,1e-05,96,total,3,0,24,0.0
0.02,1e-05,96,total,4,0,24,0.0
0.02,1e-05,96,total,5,0,24,0.0
0.02,1e-05,96,deletion_only,0,24,24,1.0
0.02,1e-05,96,deletion_only,1,16,24,0.6666666666666666
0.02,1e-05,96,deletion_only,2,0,24,0.0
0.02,1e-05,96,deletion_only,3,0,24,0.0
0.02,1e-05,96,deletion_only,4,0,24,0.0
0.02,1e-05,96,deletion_only,5,0,24,0.0
0.05,2e-05,160,total,0,24,24,1.0
0.05,2e-05,160,total,1,16,24,0.6666666666666666
0.05,2e-05,160,total,2,0,24,0.0
0.05,2e-05,160,total,3,0,24,0.0
0.05,2e-05,160,total,4,0,24,0.0
0.05,2e-05,160,total,5,0,24,0.0
0.05,2e-05,160,deletion_only,0,24,24,1.0
0.05,2e-05,160,deletion_only,1,16,24,0.6666666666666666
0.05,2e-05,160,deletion_only,2,0,24,0.0
0.05,2e-05,160,deletion_only,3,0,24,0.0
0.05,2e-05,160,deletion_only,4,0,24,0.0
0.05,2e-05,160,deletion_only,5,0,24,0.0
0.1,5e-05,256,total,0,24,24,1.0
0.1,5e-05,256,total,1,16,24,0.6666666666666666
0.1,5e-05,256,total,2,4,24,0.16666666666666666
0.1,5e-05,256,total,3,0,24,0.0
0.1,5e-05,256,total,4,0,24,0.0
0.1,5e-05,256,total,5,0,24,0.0
0.1,5e-05,256,deletion_only,0,24,24,1.0
0.1,5e-05,256,deletion_only,1,16,24,0.6666666666666666
0.1,5e-05,256,deletion_only,2,4,24,0.16666666666666666
0.1,5e-05,256,deletion_only,3,0,24,0.0
0.1,5e-05,256,deletion_only,4,0,24,0.0
0.1,5e-05,256,deletion_only,5,0,24,0.0
