p_flip,degree_bucket,evaluated_nodes,correct_fraction,abstained_fraction,non_abstain_accuracy,positive_certified_accuracy,certified_fraction_on_correct,mean_reported_radius_on_correct,mean_pA_lower,mean_smoothed_confidence,positive_delete_certified_accuracy,positive_add_certified_accuracy,delete_certified_fraction_on_correct,add_certified_fraction_on_correct,mean_delete_radius_on_correct,mean_add_radius_on_correct
0.02,0,9,0.3333333333333333,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.8197071564478445,0.8434999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.8274301549857691,0.8536666666666667,0.0,0.0,0.0,0.0,0.0,0.0
0.02,2,6,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.8957928041316232,0.9163333333333332,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0,9,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,1.0,1.0,0.959151084749434,0.9683333333333333,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.9917423582837799,0.9973888888888891,0.0,0.0,0.0,0.0,0.0,0.0
0.05,2,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.9946676387530907,0.9992500000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0,9,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,1.0,2.0,0.995856232839588,0.9998333333333334,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.9962067613450978,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,1.0,2.0,0.9962067613450979,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0,9,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,1.0,4.0,0.9962067613450978,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.9962067613450978,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,2,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,1.0,4.0,0.9962067613450979,1.0,0.0,0.0,0.0,0.0,0.0,0.0
