p_flip,margin_bucket,evaluated_nodes,correct_fraction,abstained_fraction,non_abstain_accuracy,positive_certified_accuracy,certified_fraction_on_correct,mean_reported_radius_on_correct,mean_pA_lower,mean_smoothed_confidence,positive_delete_certified_accuracy,positive_add_certified_accuracy,delete_certified_fraction_on_correct,add_certified_fraction_on_correct,mean_delete_radius_on_correct,mean_add_radius_on_correct
0.02,0,8,0.25,0.0,0.25,0.0,0.0,0.0,0.9241309799294675,0.9421875000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.7960876768389169,0.824125,0.0,0.0,0.0,0.0,0.0,0.0
0.02,2,8,0.25,0.0,0.25,0.125,0.5,0.5,0.8046554216931483,0.8302499999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0,8,0.25,0.0,0.25,0.25,1.0,1.0,0.9947013771769283,0.9992500000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9902420387426578,0.9963124999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.05,2,8,0.125,0.0,0.125,0.125,1.0,1.0,0.9558124365575978,0.9653125000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0,8,0.25,0.0,0.25,0.25,1.0,2.0,0.9962067613450979,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9962067613450979,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2,8,0.125,0.0,0.125,0.125,1.0,2.0,0.9958124167763993,0.9998125,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0,8,0.25,0.0,0.25,0.25,1.0,4.0,0.9962067613450979,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9962067613450979,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,2,8,0.125,0.0,0.125,0.125,1.0,4.0,0.9962067613450979,1.0,0.0,0.0,0.0,0.0,0.0,0.0
