p_delete,p_add,radius_type,radius,certified_nodes,evaluated_nodes,certified_accuracy,certified_accuracy_ci_lower,certified_accuracy_ci_upper
0.01,5e-06,total,0,15,20,0.75,0.5312949900419365,0.888139947210597
0.01,5e-06,total,1,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,total,2,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,total,3,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,total,4,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,total,5,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,total,6,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,total,7,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,total,8,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,total,9,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,total,10,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,deletion_only,0,15,20,0.75,0.5312949900419365,0.888139947210597
0.01,5e-06,deletion_only,1,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,deletion_only,2,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,deletion_only,3,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,deletion_only,4,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,deletion_only,5,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,addition_only,0,15,20,0.75,0.5312949900419365,0.888139947210597
0.01,5e-06,addition_only,1,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,addition_only,2,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,addition_only,3,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,addition_only,4,0,20,0.0,0.0,0.1611301254949332
0.01,5e-06,addition_only,5,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,total,0,15,20,0.75,0.5312949900419365,0.888139947210597
0.02,1e-05,total,1,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,total,2,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,total,3,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,total,4,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,total,5,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,total,6,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,total,7,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,total,8,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,total,9,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,total,10,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,deletion_only,0,15,20,0.75,0.5312949900419365,0.888139947210597
0.02,1e-05,deletion_only,1,14,20,0.7,0.4810232237710205,0.8545247260310062
0.02,1e-05,deletion_only,2,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,deletion_only,3,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,deletion_only,4,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,deletion_only,5,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,addition_only,0,15,20,0.75,0.5312949900419365,0.888139947210597
0.02,1e-05,addition_only,1,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,addition_only,2,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,addition_only,3,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,addition_only,4,0,20,0.0,0.0,0.1611301254949332
0.02,1e-05,addition_only,5,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,total,0,15,20,0.75,0.5312949900419365,0.888139947210597
0.05,2e-05,total,1,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,total,2,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,total,3,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,total,4,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,total,5,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,total,6,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,total,7,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,total,8,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,total,9,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,total,10,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,deletion_only,0,15,20,0.75,0.5312949900419365,0.888139947210597
0.05,2e-05,deletion_only,1,15,20,0.75,0.5312949900419365,0.888139947210597
0.05,2e-05,deletion_only,2,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,deletion_only,3,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,deletion_only,4,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,deletion_only,5,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,addition_only,0,15,20,0.75,0.5312949900419365,0.888139947210597
0.05,2e-05,addition_only,1,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,addition_only,2,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,addition_only,3,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,addition_only,4,0,20,0.0,0.0,0.1611301254949332
0.05,2e-05,addition_only,5,0,20,0.0,0.0,0.1611301254949332
