p_flip,node_idx,predicted_class,true_label,is_correct,certified_radius,reported_certified_radius,pA_lower
0.01,1709,3,2,False,0,0,0.5122970995602373
0.01,1710,3,2,False,0,0,0.5983446983797281
0.01,1711,2,2,True,0,0,0.2991133830437033
0.01,1712,3,2,False,0,0,0.3172230464612165
0.01,1713,3,0,False,0,0,0.5019027547317253
0.01,1714,3,2,False,0,0,0.3355819371905231
0.01,1715,3,2,False,0,0,0.3635861507422133
0.01,1716,1,2,False,0,0,0.41151135263709315
0.01,1717,3,2,False,0,0,0.29015258165997465
0.01,1718,2,2,True,0,0,0.779549516673877
0.02,1709,3,2,False,0,0,0.8215343089414848
0.02,1710,3,2,False,0,0,0.5333135794551583
0.02,1711,3,2,False,0,0,0.5227667578013249
0.02,1712,3,2,False,0,0,0.43112796822843896
0.02,1713,3,0,False,0,0,0.7028552129281681
0.02,1714,3,2,False,0,0,0.4610471407970936
0.02,1715,3,2,False,0,0,0.5439396004819177
0.02,1716,1,2,False,0,0,0.5227667578013249
0.02,1717,3,2,False,0,0,0.42128722074216474
0.02,1718,1,2,False,0,0,0.38256716897060866
0.05,1709,3,2,False,0,0,0.7662042895969994
0.05,1710,3,2,False,0,0,0.6321234195077621
0.05,1711,3,2,False,0,0,0.6435973002949036
0.05,1712,3,2,False,0,0,0.4813334369164384
0.05,1713,3,0,False,0,0,0.8215343089414848
0.05,1714,3,2,False,0,0,0.609501975514403
0.05,1715,3,2,False,0,0,0.5333135794551583
0.05,1716,1,2,False,0,0,0.5227667578013249
0.05,1717,3,2,False,0,0,0.3921518280583067
0.05,1718,1,2,False,0,0,0.779549516673877
0.1,1709,3,2,False,0,0,0.8071622933786783
0.1,1710,3,2,False,0,0,0.5227667578013249
0.1,1711,3,2,False,0,0,0.6669003397422009
0.1,1712,3,2,False,0,0,0.587284083382299
0.1,1713,3,0,False,0,0,0.8853715217728936
0.1,1714,3,2,False,0,0,0.6321234195077621
0.1,1715,3,2,False,0,0,0.5333135794551583
0.1,1716,1,2,False,0,0,0.3730453777900758
0.1,1717,3,2,False,0,0,0.5439396004819177
0.1,1718,1,2,False,0,0,0.8071622933786783
