seed,summary_type,config_branch,model_variant,attack_variant,threshold,config_label,mode,purification_operator,purification_threshold,certificate_report_strategy,adaptive_profile,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower,mean_lower_margin,mean_purified_confidence,mean_purified_margin,mean_target_degree,mean_resolved_p_delete,mean_resolved_p_add,mean_resolved_max_additions,failure_reason_counts
7,fixed-config,mainline,clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,jaccard,0.01,rest,,0.3,0.3,160,16,0.25,0.5,0.0625,0.0625,0.0625,0.375,5,0.9249860913085856,0.8499721826171716,0.4598682140931487,0.2823853208683431,3.4375,0.29999999999999993,0.29999999999999993,160.0,abstained:1; positive-radius:6; prediction-incorrect:8; zero-radius:1
7,fixed-config,mainline,clean-training,clean-training,0.01,symmetric-0.3-top2,symmetric-edge-flip,jaccard,0.01,top2,,0.3,0.3,160,16,0.25,0.4375,0.0625,0.0,0.0625,0.375,5,0.9237638606210359,0.8475277212420723,0.4598682140931487,0.2823853208683431,3.4375,0.29999999999999993,0.29999999999999993,160.0,positive-radius:6; prediction-incorrect:9; zero-radius:1
7,fixed-config,mainline,clean-training,clean-training,0.01,symmetric-0.3-cosine-top2,symmetric-edge-flip,cosine,0.01,top2,,0.3,0.3,160,16,0.25,0.5,0.0625,0.0625,0.0625,0.375,5,0.9289109096953195,0.8581365202366323,0.4598682140931487,0.2823853208683431,3.4375,0.29999999999999993,0.29999999999999993,160.0,abstained:1; positive-radius:6; prediction-incorrect:8; zero-radius:1
7,fixed-config,mainline,clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,jaccard,0.02,rest,,0.3,0.3,160,16,0.3125,0.4375,0.0625,0.0,0.0625,0.375,5,0.923489741566481,0.8469794831329623,0.4281607158482075,0.2521155974827707,2.6875,0.29999999999999993,0.29999999999999993,160.0,positive-radius:6; prediction-incorrect:9; zero-radius:1
7,fixed-config,mainline,clean-training,clean-training,0.02,symmetric-0.3-top2,symmetric-edge-flip,jaccard,0.02,top2,,0.3,0.3,160,16,0.3125,0.5,0.0625,0.0625,0.0625,0.375,5,0.9270154154266291,0.8540308308532586,0.4281607158482075,0.2521155974827707,2.6875,0.29999999999999993,0.29999999999999993,160.0,abstained:1; positive-radius:6; prediction-incorrect:8; zero-radius:1
7,fixed-config,mainline,clean-training,clean-training,0.02,symmetric-0.3-cosine-top2,symmetric-edge-flip,cosine,0.02,top2,,0.3,0.3,160,16,0.25,0.5,0.0625,0.0625,0.0625,0.375,5,0.9256901317314689,0.8513802634629383,0.4598682140931487,0.2823853208683431,3.4375,0.29999999999999993,0.29999999999999993,160.0,abstained:1; positive-radius:6; prediction-incorrect:8; zero-radius:1
7,fixed-config,mainline,clean-training,clean-training,0.05,symmetric-0.3,symmetric-edge-flip,jaccard,0.05,rest,,0.3,0.3,160,16,0.75,0.4375,0.0625,0.0,0.0625,0.375,5,0.9247208919470746,0.8494417838941495,0.35268055368214846,0.1681983871385455,1.5625,0.29999999999999993,0.29999999999999993,160.0,positive-radius:6; prediction-incorrect:9; zero-radius:1
7,fixed-config,mainline,clean-training,clean-training,0.05,symmetric-0.3-top2,symmetric-edge-flip,jaccard,0.05,top2,,0.3,0.3,160,16,0.75,0.4375,0.0625,0.0,0.0625,0.375,5,0.9270296633992734,0.8542127812012456,0.35268055368214846,0.1681983871385455,1.5625,0.29999999999999993,0.29999999999999993,160.0,positive-radius:6; prediction-incorrect:9; zero-radius:1
7,fixed-config,mainline,clean-training,clean-training,0.05,symmetric-0.3-cosine-top2,symmetric-edge-flip,cosine,0.05,top2,,0.3,0.3,160,16,0.3125,0.4375,0.0625,0.0,0.0625,0.375,5,0.9267304367571522,0.8534608735143047,0.4281607158482075,0.2521155974827707,2.6875,0.29999999999999993,0.29999999999999993,160.0,positive-radius:6; prediction-incorrect:9; zero-radius:1
7,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,symmetric-0.3,symmetric-edge-flip,jaccard,0.01,rest,,0.3,0.3,160,16,0.3125,0.5,0.0625,0.0625,0.0625,0.375,5,0.927363624920401,0.8547272498408026,0.4310586666688323,0.2357162069529295,3.5625,0.29999999999999993,0.29999999999999993,160.0,abstained:1; positive-radius:6; prediction-incorrect:8; zero-radius:1
