p_flip,node_idx,predicted_class,true_label,is_correct,certified_radius,reported_certified_radius,pA_lower
0.01,1733,1,2,False,0,0,0.7931872002866512
0.01,1812,3,3,True,0,0,0.9268078424558299
0.01,1822,3,3,True,0,0,0.8680580560472634
0.01,1850,0,0,True,0,0,0.4410343127665956
0.01,1936,3,3,True,0,0,0.8853715217728936
0.01,1958,5,5,True,0,0,0.8363850074725852
0.01,1989,1,2,False,0,0,0.7531165602480295
0.01,2362,3,4,False,0,0,0.4711555539290124
0.01,2462,3,3,True,0,0,0.3541892592735885
0.01,2467,3,6,False,0,0,0.4610471407970936
0.02,1733,1,2,False,0,0,0.7276075006401308
0.02,1812,3,3,True,0,0,0.9268078424558299
0.02,1822,3,3,True,0,0,0.8853715217728936
0.02,1850,3,0,False,0,0,0.4311279682284391
0.02,1936,3,3,True,0,0,0.9043898889256569
0.02,1958,5,5,True,0,0,0.45100706636104926
0.02,1989,1,2,False,0,0,0.7402584951597289
0.02,2362,3,4,False,0,0,0.6787434202466509
0.02,2462,3,3,True,0,0,0.5763164380760727
0.02,2467,3,6,False,0,0,0.5983446983797281
0.05,1733,1,2,False,0,0,0.6095019755144029
0.05,1812,3,3,True,0,0,0.9043898889256569
0.05,1822,3,3,True,0,0,0.8853715217728936
0.05,1850,3,0,False,0,0,0.5983446983797281
0.05,1936,3,3,True,0,0,0.9268078424558299
0.05,1958,3,5,False,0,0,0.8215343089414848
0.05,1989,1,2,False,0,0,0.6907251344151877
0.05,2362,3,4,False,0,0,0.8680580560472634
0.05,2462,3,3,True,0,0,0.522766757801325
0.05,2467,3,6,False,0,0,0.7028552129281681
0.1,1733,1,2,False,0,0,0.5654384336483761
0.1,1812,3,3,True,0,0,0.9268078424558299
0.1,1822,3,3,True,0,0,0.9043898889256569
0.1,1850,3,0,False,0,0,0.7151449367894536
0.1,1936,3,3,True,0,0,0.9268078424558299
0.1,1958,3,5,False,0,0,0.8363850074725852
0.1,1989,1,2,False,0,0,0.7028552129281681
0.1,2362,3,4,False,0,0,0.8363850074725852
0.1,2462,3,3,True,0,0,0.5439396004819177
0.1,2467,3,6,False,0,0,0.7028552129281681
