p_delete,p_add,max_additions,node_idx,predicted_class,true_label,is_correct,asymmetric_total_radius,reported_asymmetric_total_radius,max_delete_budget,max_add_budget,reported_asymmetric_delete_budget,reported_asymmetric_add_budget,pA_lower
0.01,5e-06,64,1733,1,2,False,0,0,0,0,0,0,0.9043898889256569
0.01,5e-06,64,1812,3,3,True,0,0,0,0,0,0,0.9268078424558299
0.01,5e-06,64,1822,3,3,True,0,0,0,0,0,0,0.9268078424558299
0.01,5e-06,64,1850,0,0,True,0,0,0,0,0,0,0.9268078424558299
0.01,5e-06,64,1936,3,3,True,0,0,0,0,0,0,0.9268078424558299
0.01,5e-06,64,1958,5,5,True,0,0,0,0,0,0,0.9268078424558299
0.01,5e-06,64,1989,1,2,False,0,0,0,0,0,0,0.9043898889256569
0.01,5e-06,64,2362,4,4,True,0,0,0,0,0,0,0.9268078424558299
0.01,5e-06,64,2462,2,3,False,0,0,0,0,0,0,0.9043898889256569
0.01,5e-06,64,2467,5,6,False,0,0,0,0,0,0,0.9268078424558299
0.02,1e-05,96,1733,1,2,False,0,0,0,0,0,0,0.7931872002866512
0.02,1e-05,96,1812,3,3,True,0,0,0,0,0,0,0.9268078424558299
0.02,1e-05,96,1822,3,3,True,0,0,0,0,0,0,0.9268078424558299
0.02,1e-05,96,1850,0,0,True,0,0,0,0,0,0,0.9268078424558299
0.02,1e-05,96,1936,3,3,True,0,0,0,0,0,0,0.9268078424558299
0.02,1e-05,96,1958,5,5,True,0,0,0,0,0,0,0.9268078424558299
0.02,1e-05,96,1989,1,2,False,0,0,0,0,0,0,0.9043898889256569
0.02,1e-05,96,2362,4,4,True,0,0,0,0,0,0,0.9043898889256569
0.02,1e-05,96,2462,2,3,False,0,0,0,0,0,0,0.851832311419962
0.02,1e-05,96,2467,5,6,False,0,0,0,0,0,0,0.8853715217728936
0.05,2e-05,160,1733,1,2,False,0,0,0,0,0,0,0.8680580560472634
0.05,2e-05,160,1812,3,3,True,0,0,0,0,0,0,0.9268078424558299
0.05,2e-05,160,1822,3,3,True,0,0,0,0,0,0,0.9268078424558299
0.05,2e-05,160,1850,0,0,True,0,0,0,0,0,0,0.9268078424558299
0.05,2e-05,160,1936,3,3,True,0,0,0,0,0,0,0.9268078424558299
0.05,2e-05,160,1958,5,5,True,0,0,0,0,0,0,0.9268078424558299
0.05,2e-05,160,1989,1,2,False,0,0,0,0,0,0,0.9268078424558299
0.05,2e-05,160,2362,4,4,True,0,0,0,0,0,0,0.9268078424558299
0.05,2e-05,160,2462,2,3,False,0,0,0,0,0,0,0.7531165602480295
0.05,2e-05,160,2467,5,6,False,0,0,0,0,0,0,0.9268078424558299
