p_delete,p_add,radius_type,radius,certified_nodes,evaluated_nodes,certified_accuracy,certified_accuracy_ci_lower,certified_accuracy_ci_upper
0.01,5e-06,total,0,6,10,0.6,0.3126695474501863,0.8318224187964901
0.01,5e-06,total,1,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,total,2,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,total,3,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,total,4,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,total,5,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,total,6,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,total,7,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,total,8,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,total,9,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,total,10,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,deletion_only,0,6,10,0.6,0.3126695474501863,0.8318224187964901
0.01,5e-06,deletion_only,1,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,deletion_only,2,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,deletion_only,3,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,deletion_only,4,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,deletion_only,5,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,addition_only,0,6,10,0.6,0.3126695474501863,0.8318224187964901
0.01,5e-06,addition_only,1,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,addition_only,2,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,addition_only,3,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,addition_only,4,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,addition_only,5,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,total,0,6,10,0.6,0.3126695474501863,0.8318224187964901
0.02,1e-05,total,1,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,total,2,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,total,3,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,total,4,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,total,5,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,total,6,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,total,7,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,total,8,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,total,9,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,total,10,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,deletion_only,0,6,10,0.6,0.3126695474501863,0.8318224187964901
0.02,1e-05,deletion_only,1,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,deletion_only,2,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,deletion_only,3,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,deletion_only,4,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,deletion_only,5,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,addition_only,0,6,10,0.6,0.3126695474501863,0.8318224187964901
0.02,1e-05,addition_only,1,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,addition_only,2,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,addition_only,3,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,addition_only,4,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,addition_only,5,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,total,0,6,10,0.6,0.3126695474501863,0.8318224187964901
0.05,2e-05,total,1,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,total,2,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,total,3,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,total,4,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,total,5,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,total,6,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,total,7,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,total,8,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,total,9,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,total,10,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,deletion_only,0,6,10,0.6,0.3126695474501863,0.8318224187964901
0.05,2e-05,deletion_only,1,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,deletion_only,2,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,deletion_only,3,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,deletion_only,4,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,deletion_only,5,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,addition_only,0,6,10,0.6,0.3126695474501863,0.8318224187964901
0.05,2e-05,addition_only,1,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,addition_only,2,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,addition_only,3,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,addition_only,4,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,addition_only,5,0,10,0.0,0.0,0.2775401687666165
