epoch,loss,train,val,test
1,1.9463980197906494,0.18571428571428572,0.208,0.184
2,1.9387682676315308,0.3142857142857143,0.21,0.202
3,1.9321457147598267,0.6285714285714286,0.484,0.523
4,1.9203128814697266,0.8714285714285714,0.702,0.711
5,1.9077109098434448,0.8928571428571429,0.702,0.703
6,1.8943839073181152,0.8785714285714286,0.65,0.662
7,1.8791065216064453,0.8928571428571429,0.664,0.684
8,1.8647007942199707,0.8928571428571429,0.684,0.702
9,1.8508498668670654,0.9071428571428571,0.696,0.701
10,1.834438681602478,0.9,0.688,0.689
11,1.8129961490631104,0.8857142857142857,0.68,0.683
12,1.8016746044158936,0.8785714285714286,0.666,0.681
13,1.775633692741394,0.8714285714285714,0.666,0.687
14,1.7565281391143799,0.8714285714285714,0.674,0.698
15,1.7402461767196655,0.8714285714285714,0.68,0.7
16,1.7111051082611084,0.9,0.686,0.702
17,1.6931349039077759,0.9142857142857143,0.702,0.708
18,1.6615594625473022,0.9214285714285714,0.712,0.716
19,1.6437175273895264,0.9142857142857143,0.712,0.716
20,1.6193264722824097,0.9071428571428571,0.708,0.722
21,1.5971312522888184,0.9071428571428571,0.712,0.725
22,1.5790255069732666,0.9,0.716,0.726
23,1.5474185943603516,0.9142857142857143,0.722,0.736
24,1.516323208808899,0.9214285714285714,0.73,0.747
25,1.4918209314346313,0.9357142857142857,0.732,0.754
26,1.4689769744873047,0.95,0.74,0.757
27,1.436738133430481,0.95,0.738,0.759
28,1.4083718061447144,0.95,0.754,0.765
29,1.3947231769561768,0.9571428571428572,0.758,0.77
30,1.3831770420074463,0.9642857142857143,0.772,0.777
31,1.3377350568771362,0.9642857142857143,0.778,0.788
32,1.3007398843765259,0.9571428571428572,0.78,0.787
33,1.2839570045471191,0.9571428571428572,0.778,0.791
34,1.24598228931427,0.9571428571428572,0.782,0.79
35,1.2115731239318848,0.9571428571428572,0.782,0.79
36,1.1970243453979492,0.9571428571428572,0.78,0.793
37,1.1547982692718506,0.9571428571428572,0.782,0.788
38,1.1194909811019897,0.9642857142857143,0.78,0.793
39,1.0953447818756104,0.9642857142857143,0.778,0.792
40,1.0871007442474365,0.9642857142857143,0.784,0.791
41,1.052734613418579,0.9642857142857143,0.78,0.793
42,1.0260711908340454,0.9642857142857143,0.78,0.793
43,0.9798381328582764,0.9642857142857143,0.782,0.795
44,0.9657247066497803,0.9642857142857143,0.782,0.797
45,0.9337562322616577,0.9642857142857143,0.79,0.8
46,0.8998335003852844,0.9642857142857143,0.792,0.805
47,0.8760990500450134,0.9714285714285714,0.792,0.806
48,0.8643027544021606,0.9714285714285714,0.792,0.806
49,0.8524489998817444,0.9714285714285714,0.79,0.806
50,0.8471052646636963,0.9714285714285714,0.79,0.805
51,0.8281528949737549,0.9785714285714285,0.792,0.808
52,0.7775764465332031,0.9857142857142858,0.792,0.807
53,0.7707182168960571,0.9857142857142858,0.792,0.809
54,0.7494609355926514,0.9857142857142858,0.792,0.811
55,0.7446184158325195,0.9857142857142858,0.792,0.811
56,0.7086501121520996,0.9857142857142858,0.794,0.813
57,0.697559118270874,0.9857142857142858,0.79,0.813
58,0.6638818979263306,0.9857142857142858,0.796,0.817
59,0.6329005360603333,0.9857142857142858,0.794,0.818
60,0.6468954086303711,0.9857142857142858,0.794,0.815
61,0.612910270690918,0.9857142857142858,0.786,0.808
62,0.6463634371757507,0.9857142857142858,0.786,0.807
63,0.5910229086875916,0.9857142857142858,0.788,0.806
64,0.6052548289299011,0.9857142857142858,0.79,0.807
65,0.584534764289856,0.9857142857142858,0.792,0.812
66,0.5431099534034729,0.9857142857142858,0.792,0.811
67,0.5598675608634949,0.9857142857142858,0.794,0.815
68,0.5646347999572754,0.9857142857142858,0.79,0.818
69,0.582025408744812,0.9857142857142858,0.794,0.816
70,0.5469104051589966,0.9857142857142858,0.792,0.815
71,0.5060089230537415,0.9857142857142858,0.792,0.809
72,0.5236079096794128,0.9857142857142858,0.792,0.809
73,0.4983838200569153,0.9857142857142858,0.792,0.81
74,0.5070123672485352,0.9857142857142858,0.79,0.815
75,0.47633886337280273,0.9857142857142858,0.784,0.82
76,0.4879876375198364,0.9857142857142858,0.786,0.817
77,0.45421457290649414,0.9857142857142858,0.788,0.817
78,0.4746016263961792,0.9857142857142858,0.79,0.816
79,0.4315185248851776,0.9857142857142858,0.792,0.816
80,0.4731343984603882,0.9857142857142858,0.796,0.817
81,0.4981769621372223,0.9857142857142858,0.794,0.82
82,0.422268807888031,0.9857142857142858,0.792,0.814
83,0.43966907262802124,0.9857142857142858,0.794,0.81
84,0.40345290303230286,0.9857142857142858,0.792,0.805
85,0.44372689723968506,0.9857142857142858,0.794,0.804
86,0.39759594202041626,0.9857142857142858,0.792,0.805
87,0.42815932631492615,0.9857142857142858,0.794,0.81
88,0.41535669565200806,0.9857142857142858,0.792,0.812
89,0.4082671105861664,0.9857142857142858,0.79,0.813
90,0.4055866003036499,0.9857142857142858,0.792,0.822
91,0.388572096824646,0.9857142857142858,0.79,0.821
92,0.3875634968280792,0.9857142857142858,0.788,0.819
93,0.4227699041366577,0.9857142857142858,0.79,0.814
94,0.4146941304206848,0.9857142857142858,0.79,0.801
95,0.3760083019733429,0.9857142857142858,0.79,0.8
96,0.36005496978759766,0.9857142857142858,0.796,0.8
97,0.37383678555488586,0.9857142857142858,0.796,0.801
98,0.3454691767692566,0.9857142857142858,0.792,0.801
99,0.33188334107398987,0.9857142857142858,0.79,0.803
100,0.3804587125778198,0.9857142857142858,0.786,0.809
101,0.3542560935020447,0.9857142857142858,0.786,0.81
102,0.34845855832099915,0.9857142857142858,0.788,0.813
103,0.3315262794494629,0.9857142857142858,0.794,0.817
104,0.3672373592853546,0.9857142857142858,0.796,0.815
105,0.34671470522880554,0.9857142857142858,0.792,0.814
106,0.3507848083972931,0.9928571428571429,0.792,0.814
107,0.3588061034679413,0.9928571428571429,0.788,0.815
108,0.32355770468711853,0.9857142857142858,0.788,0.813
109,0.32038843631744385,0.9857142857142858,0.792,0.805
110,0.31677454710006714,0.9857142857142858,0.788,0.801
111,0.3704451322555542,0.9928571428571429,0.786,0.801
112,0.35400456190109253,0.9928571428571429,0.792,0.799
113,0.30721262097358704,0.9928571428571429,0.79,0.803
114,0.33323073387145996,0.9928571428571429,0.794,0.807
115,0.31785139441490173,0.9928571428571429,0.796,0.807
116,0.31602171063423157,0.9928571428571429,0.796,0.811
117,0.30878111720085144,0.9928571428571429,0.794,0.813
118,0.3214781582355499,0.9928571428571429,0.794,0.815
119,0.30131271481513977,0.9857142857142858,0.792,0.811
120,0.29427996277809143,0.9857142857142858,0.788,0.809
121,0.31738442182540894,0.9857142857142858,0.784,0.805
122,0.32688942551612854,0.9928571428571429,0.786,0.801
123,0.3183618485927582,0.9928571428571429,0.788,0.8
124,0.3039073050022125,0.9928571428571429,0.784,0.8
125,0.30249106884002686,0.9928571428571429,0.788,0.805
126,0.32176473736763,0.9928571428571429,0.786,0.806
127,0.28870630264282227,0.9928571428571429,0.784,0.807
128,0.30244335532188416,0.9928571428571429,0.786,0.807
129,0.2854287326335907,0.9928571428571429,0.79,0.804
130,0.29695287346839905,0.9928571428571429,0.788,0.803
131,0.29248303174972534,0.9857142857142858,0.786,0.803
132,0.30932286381721497,0.9857142857142858,0.784,0.806
133,0.31669291853904724,0.9928571428571429,0.786,0.808
134,0.3095124065876007,1.0,0.788,0.806
135,0.26155394315719604,1.0,0.79,0.806
136,0.2780803442001343,1.0,0.792,0.808
137,0.29098016023635864,1.0,0.792,0.807
138,0.2730165421962738,1.0,0.79,0.802
139,0.2856528162956238,1.0,0.79,0.799
