subset_name,variant,certificate_family,p_flip,evaluated_nodes,correct_fraction,positive_certified_accuracy,certified_fraction_on_correct,mean_certified_radius_on_correct,p_delete,p_add,max_additions
jointly-correct,clean-training,symmetric,0.01,24,0.2916666666666667,0.0,0.0,0.0,,,
jointly-correct,clean-training,symmetric,0.02,24,0.08333333333333333,0.0,0.0,0.0,,,
jointly-correct,clean-training,symmetric,0.05,24,0.08333333333333333,0.0,0.0,0.0,,,
jointly-correct,clean-training,symmetric,0.1,24,0.08333333333333333,0.0,0.0,0.0,,,
jointly-correct,clean-training,sparse,,24,1.0,0.0,0.0,0.0,0.01,5e-06,64
jointly-correct,clean-training,sparse,,24,1.0,0.0,0.0,0.0,0.02,1e-05,96
jointly-correct,clean-training,sparse,,24,1.0,0.0,0.0,0.0,0.05,2e-05,160
jointly-correct,matched-sparse-noisy-training,symmetric,0.01,24,0.7916666666666666,0.0,0.0,0.0,,,
jointly-correct,matched-sparse-noisy-training,symmetric,0.02,24,0.5833333333333334,0.0,0.0,0.0,,,
jointly-correct,matched-sparse-noisy-training,symmetric,0.05,24,0.3333333333333333,0.0,0.0,0.0,,,
jointly-correct,matched-sparse-noisy-training,symmetric,0.1,24,0.25,0.0,0.0,0.0,,,
jointly-correct,matched-sparse-noisy-training,sparse,,24,1.0,0.0,0.0,0.0,0.01,5e-06,64
jointly-correct,matched-sparse-noisy-training,sparse,,24,1.0,0.0,0.0,0.0,0.02,1e-05,96
jointly-correct,matched-sparse-noisy-training,sparse,,24,1.0,0.0,0.0,0.0,0.05,2e-05,160
