p_flip,node_idx,predicted_class,true_label,is_correct,certified_radius,reported_certified_radius,pA_lower
0.01,1827,0,5,False,0,0,0.29911338304370333
0.01,1888,0,2,False,0,0,0.29911338304370333
0.01,1938,0,3,False,0,0,0.4017997358804786
0.01,2004,3,3,True,0,0,0.6669003397422008
0.01,2096,0,1,False,0,0,0.6787434202466509
0.01,2126,4,3,False,0,0,0.7931872002866512
0.01,2240,4,4,True,0,0,0.8853715217728936
0.01,2262,0,4,False,0,0,0.4017997358804786
0.01,2426,0,3,False,0,0,0.2636508637694421
0.01,2590,4,3,False,0,0,0.38256716897060894
0.02,1827,0,5,False,0,0,0.6435973002949036
0.02,1888,0,2,False,0,0,0.4813334369164384
0.02,1938,0,3,False,0,0,0.6787434202466509
0.02,2004,3,3,True,0,0,0.3541892592735885
0.02,2096,0,1,False,0,0,0.6907251344151877
0.02,2126,4,3,False,0,0,0.779549516673877
0.02,2240,4,4,True,0,0,0.7028552129281681
0.02,2262,0,4,False,0,0,0.45100706636104926
0.02,2426,0,3,False,0,0,0.4311279682284391
0.02,2590,0,3,False,0,0,0.3355819371905234
0.05,1827,0,5,False,0,0,0.8071622933786783
0.05,1888,0,2,False,0,0,0.6435973002949036
0.05,1938,0,3,False,0,0,0.7931872002866512
0.05,2004,0,3,False,0,0,0.36358615074221345
0.05,2096,0,1,False,0,0,0.8071622933786783
0.05,2126,4,3,False,0,0,0.522766757801325
0.05,2240,4,4,True,0,0,0.38256716897060894
0.05,2262,0,4,False,0,0,0.7531165602480295
0.05,2426,0,3,False,0,0,0.5546470621734474
0.05,2590,0,3,False,0,0,0.5654384336483761
0.1,1827,0,5,False,0,0,0.9268078424558299
0.1,1888,0,2,False,0,0,0.8853715217728936
0.1,1938,0,3,False,0,0,0.8363850074725852
0.1,2004,0,3,False,0,0,0.6321234195077621
0.1,2096,0,1,False,0,0,0.9043898889256569
0.1,2126,0,3,False,0,0,0.38256716897060894
0.1,2240,0,4,False,0,0,0.5983446983797281
0.1,2262,0,4,False,0,0,0.851832311419962
0.1,2426,0,3,False,0,0,0.7276075006401308
0.1,2590,0,3,False,0,0,0.7402584951597289
