p_delete,p_add,max_additions,node_idx,predicted_class,true_label,is_correct,asymmetric_total_radius,reported_asymmetric_total_radius,max_delete_budget,max_add_budget,pA_lower
0.01,5e-06,64,1827,5,5,True,0,0,0,0,0.9268078424558299
0.01,5e-06,64,1888,2,2,True,0,0,0,0,0.9268078424558299
0.01,5e-06,64,1938,3,3,True,0,0,0,0,0.9043898889256569
0.01,5e-06,64,2004,3,3,True,0,0,0,0,0.9268078424558299
0.01,5e-06,64,2096,1,1,True,0,0,0,0,0.9268078424558299
0.01,5e-06,64,2126,4,3,False,0,0,0,0,0.9268078424558299
0.01,5e-06,64,2240,4,4,True,0,0,0,0,0.9268078424558299
0.01,5e-06,64,2262,4,4,True,0,0,0,0,0.8853715217728936
0.01,5e-06,64,2426,3,3,True,0,0,0,0,0.9268078424558299
0.01,5e-06,64,2590,4,3,False,0,0,0,0,0.851832311419962
0.02,1e-05,96,1827,5,5,True,0,0,0,0,0.9268078424558299
0.02,1e-05,96,1888,2,2,True,0,0,0,0,0.9268078424558299
0.02,1e-05,96,1938,3,3,True,0,0,0,0,0.9043898889256569
0.02,1e-05,96,2004,3,3,True,0,0,0,0,0.9268078424558299
0.02,1e-05,96,2096,1,1,True,0,0,0,0,0.9268078424558299
0.02,1e-05,96,2126,4,3,False,0,0,0,0,0.9268078424558299
0.02,1e-05,96,2240,4,4,True,0,0,0,0,0.9268078424558299
0.02,1e-05,96,2262,4,4,True,0,0,0,0,0.8680580560472634
0.02,1e-05,96,2426,3,3,True,0,0,0,0,0.9043898889256569
0.02,1e-05,96,2590,4,3,False,0,0,0,0,0.8071622933786783
0.05,2e-05,160,1827,5,5,True,0,0,0,0,0.9268078424558299
0.05,2e-05,160,1888,2,2,True,0,0,0,0,0.9268078424558299
0.05,2e-05,160,1938,3,3,True,0,0,0,0,0.8363850074725852
0.05,2e-05,160,2004,3,3,True,0,0,0,0,0.9268078424558299
0.05,2e-05,160,2096,1,1,True,0,0,0,0,0.9268078424558299
0.05,2e-05,160,2126,4,3,False,0,0,0,0,0.9043898889256569
0.05,2e-05,160,2240,4,4,True,0,0,0,0,0.9268078424558299
0.05,2e-05,160,2262,4,4,True,0,0,0,0,0.7931872002866512
0.05,2e-05,160,2426,3,3,True,0,0,0,0,0.9043898889256569
0.05,2e-05,160,2590,4,3,False,0,0,0,0,0.6907251344151877
