threshold,target_node,true_label,attacked_pred,purified_pred,attacked_is_correct,purified_is_correct,recovered,target_edge_retention,mean_target_jaccard
0.0,2313,2,0,0,0,0,0,1.0,0.024610478430986404
0.0,1922,0,3,3,0,0,0,1.0,0.017543859779834747
0.0,1866,3,2,2,0,0,0,1.0,0.0
0.0,2654,2,0,0,0,0,0,1.0,0.007575757801532745
0.0,2673,4,2,2,0,0,0,1.0,0.022672653198242188
0.01,2313,2,0,0,0,0,0,0.6,0.024610478430986404
0.01,1922,0,3,0,0,1,1,0.3333333333333333,0.017543859779834747
0.01,1866,3,2,3,0,1,1,0.0,0.0
0.01,2654,2,0,0,0,0,0,0.25,0.007575757801532745
0.01,2673,4,2,4,0,1,1,0.5,0.022672653198242188
0.02,2313,2,0,0,0,0,0,0.6,0.024610478430986404
0.02,1922,0,3,0,0,1,1,0.3333333333333333,0.017543859779834747
0.02,1866,3,2,3,0,1,1,0.0,0.0
0.02,2654,2,0,0,0,0,0,0.25,0.007575757801532745
0.02,2673,4,2,4,0,1,1,0.5,0.022672653198242188
0.05,2313,2,0,2,0,1,1,0.2,0.024610478430986404
0.05,1922,0,3,0,0,1,1,0.3333333333333333,0.017543859779834747
0.05,1866,3,2,3,0,1,1,0.0,0.0
0.05,2654,2,0,0,0,0,0,0.0,0.007575757801532745
0.05,2673,4,2,4,0,1,1,0.16666666666666666,0.022672653198242188
