seed,summary_type,model_variant,attack_variant,threshold,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,positive_certified_fraction,mean_reported_radius,max_reported_radius,mean_pA_lower,mean_target_edge_retention,nodes_with_correct_config,nodes_without_correct_config,correct_selected_config_counts
7,oracle-best-correct,clean-training,clean-training,0.01,12,0.5833333333333334,0.75,0.25,0.75,4,0.9556654487320663,0.4548611111111111,9,3,sparse-asym-0.01:5; sparse-asym-0.02:1; symmetric-0.3:3
7,oracle-best-correct,clean-training,clean-training,0.02,12,0.5833333333333334,0.75,0.25,0.6666666666666666,4,0.9543518796705809,0.4548611111111111,9,3,sparse-asym-0.01:5; sparse-asym-0.02:1; symmetric-0.3:3
7,oracle-best-correct,clean-training,clean-training,0.05,12,0.8333333333333334,0.8333333333333334,0.25,0.75,4,0.9601802894841552,0.28769841269841273,10,2,sparse-asym-0.01:6; sparse-asym-0.02:1; symmetric-0.3:3
7,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,11,0.5454545454545454,0.7272727272727273,0.2727272727272727,1.3636363636363635,5,0.9700218788086336,0.4269480519480519,8,3,sparse-asym-0.01:5; symmetric-0.3:3
7,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,11,0.5454545454545454,0.7272727272727273,0.2727272727272727,1.3636363636363635,5,0.9720343687810096,0.4269480519480519,8,3,sparse-asym-0.01:5; symmetric-0.3:3
7,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,11,0.5454545454545454,0.7272727272727273,0.2727272727272727,1.3636363636363635,5,0.9734302705492535,0.34848484848484845,8,3,sparse-asym-0.01:3; sparse-asym-0.02:2; symmetric-0.3:3
42,oracle-best-correct,clean-training,clean-training,0.01,11,0.5454545454545454,0.5454545454545454,0.09090909090909091,0.45454545454545453,5,0.967047620985851,0.37543290043290045,6,5,sparse-asym-0.01:4; sparse-asym-0.02:1; symmetric-0.3:1
42,oracle-best-correct,clean-training,clean-training,0.02,11,0.5454545454545454,0.5454545454545454,0.09090909090909091,0.45454545454545453,5,0.9686732329697306,0.37543290043290045,6,5,sparse-asym-0.01:5; symmetric-0.3:1
42,oracle-best-correct,clean-training,clean-training,0.05,11,0.6363636363636364,0.6363636363636364,0.09090909090909091,0.45454545454545453,5,0.9634858470835881,0.23354978354978354,7,4,sparse-asym-0.01:4; sparse-asym-0.02:1; sparse-asym-0.05:1; symmetric-0.3:1
42,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,12,0.8333333333333334,0.8333333333333334,0.0,0.0,0,0.9683150235747702,0.37986111111111115,10,2,sparse-asym-0.01:6; sparse-asym-0.02:4
42,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,12,0.8333333333333334,0.8333333333333334,0.0,0.0,0,0.9712056679136335,0.37986111111111115,10,2,sparse-asym-0.01:9; sparse-asym-0.02:1
42,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,12,0.8333333333333334,0.8333333333333334,0.0,0.0,0,0.9646161105005332,0.20793650793650795,10,2,sparse-asym-0.01:8; sparse-asym-0.02:1; sparse-asym-0.05:1
99,oracle-best-correct,clean-training,clean-training,0.01,12,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.8333333333333334,5,0.9725300098141153,0.36562049062049057,10,2,sparse-asym-0.01:8; symmetric-0.3:2
99,oracle-best-correct,clean-training,clean-training,0.02,12,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.8333333333333334,5,0.9701031634677605,0.36562049062049057,10,2,sparse-asym-0.01:7; sparse-asym-0.02:1; symmetric-0.3:2
99,oracle-best-correct,clean-training,clean-training,0.05,12,0.75,0.75,0.16666666666666666,0.8333333333333334,5,0.9685302470834897,0.29130591630591623,9,3,sparse-asym-0.01:7; symmetric-0.3:2
99,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,11,0.8181818181818182,0.8181818181818182,0.0,0.0,0,0.9633335547315436,0.37510822510822506,9,2,sparse-asym-0.01:9
99,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,11,0.8181818181818182,0.8181818181818182,0.0,0.0,0,0.9628250678586117,0.37510822510822506,9,2,sparse-asym-0.01:9
99,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,11,0.7272727272727273,0.7272727272727273,0.0,0.0,0,0.9716938034535496,0.30746753246753245,8,3,sparse-asym-0.01:7; sparse-asym-0.02:1
