seed,summary_type,model_variant,attack_variant,threshold,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,mean_reported_radius,max_reported_radius,mean_pA_lower,mean_lower_margin,mean_target_edge_retention,nodes_with_correct_config,nodes_without_correct_config,correct_selected_config_counts,failure_reason_counts
7,oracle-best-correct,clean-training,clean-training,0.01,12,0.6666666666666666,0.8333333333333334,0.0,0.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,1,0.910638438270183,0.8212768765403662,0.3824404761904762,10,2,balanced-sparse-0.2:1; sparse-asym-0.01:3; sparse-asym-0.05:4; symmetric-0.3:2,positive-radius:5; prediction-incorrect:2; zero-radius:5
7,oracle-best-correct,clean-training,clean-training,0.02,12,0.6666666666666666,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.25,0.5833333333333334,0.5833333333333334,1,0.8520737064250187,0.7041474128500372,0.3824404761904762,11,1,balanced-sparse-0.2:1; sparse-asym-0.01:1; sparse-asym-0.05:6; symmetric-0.3:3,abstained:1; positive-radius:7; prediction-incorrect:1; zero-radius:3
7,oracle-best-correct,clean-training,clean-training,0.05,12,0.75,1.0,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.3333333333333333,1,0.8617298091267988,0.723459618253597,0.26190476190476186,12,0,balanced-sparse-0.2:1; sparse-asym-0.01:4; sparse-asym-0.02:1; sparse-asym-0.05:3; symmetric-0.2:1; symmetric-0.3:2,abstained:1; positive-radius:4; zero-radius:7
7,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,12,0.6666666666666666,0.9166666666666666,0.0,0.0,0.4166666666666667,0.5,1.0833333333333333,4,0.9454147773798937,0.8908295547597875,0.36567460317460315,11,1,sparse-asym-0.01:5; sparse-asym-0.05:2; symmetric-0.3:4,positive-radius:6; prediction-incorrect:1; zero-radius:5
7,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,12,0.6666666666666666,0.9166666666666666,0.0,0.0,0.3333333333333333,0.5833333333333334,1.3333333333333333,4,0.9544061050420796,0.9088122100841596,0.36567460317460315,11,1,sparse-asym-0.01:2; sparse-asym-0.02:2; sparse-asym-0.05:3; symmetric-0.3:4,positive-radius:7; prediction-incorrect:1; zero-radius:4
7,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,12,0.75,1.0,0.0,0.0,0.5,0.5,1.0,3,0.9468975789617602,0.8937951579235205,0.30393217893217894,12,0,sparse-asym-0.01:5; sparse-asym-0.02:1; sparse-asym-0.05:2; symmetric-0.3:4,positive-radius:6; zero-radius:6
7,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,12,0.6666666666666666,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.5,0.3333333333333333,0.3333333333333333,1,0.8633227926117181,0.726645585223436,0.3824404761904762,11,1,sparse-asym-0.01:3; sparse-asym-0.02:1; sparse-asym-0.05:3; symmetric-0.2:2; symmetric-0.3:2,abstained:1; positive-radius:4; prediction-incorrect:1; zero-radius:6
7,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,12,0.6666666666666666,0.8333333333333334,0.0,0.0,0.3333333333333333,0.5,0.5,1,0.9085675439608889,0.8171350879217775,0.3824404761904762,10,2,balanced-sparse-0.2:1; sparse-asym-0.01:2; sparse-asym-0.05:5; symmetric-0.3:2,positive-radius:6; prediction-incorrect:2; zero-radius:4
7,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,12,0.75,1.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.25,0.25,1,0.8630452019700198,0.7260904039400397,0.26190476190476186,12,0,balanced-sparse-0.2:1; sparse-asym-0.01:4; sparse-asym-0.02:1; sparse-asym-0.05:3; symmetric-0.2:1; symmetric-0.3:2,abstained:1; positive-radius:3; zero-radius:8
42,oracle-best-correct,clean-training,clean-training,0.01,11,0.8181818181818182,0.9090909090909091,0.0,0.0,0.09090909090909091,0.8181818181818182,3.3636363636363638,5,0.9797644595271762,0.9595289190543522,0.353030303030303,10,1,sparse-asym-0.01:1; sparse-asym-0.05:2; symmetric-0.3:7,positive-radius:9; prediction-incorrect:1; zero-radius:1
42,oracle-best-correct,clean-training,clean-training,0.02,11,0.8181818181818182,0.9090909090909091,0.0,0.0,0.09090909090909091,0.8181818181818182,3.3636363636363638,5,0.9777378860775588,0.9554757721551179,0.353030303030303,10,1,sparse-asym-0.01:1; sparse-asym-0.05:2; symmetric-0.3:7,positive-radius:9; prediction-incorrect:1; zero-radius:1
42,oracle-best-correct,clean-training,clean-training,0.05,11,0.8181818181818182,0.9090909090909091,0.0,0.0,0.09090909090909091,0.8181818181818182,3.3636363636363638,5,0.9772571416170405,0.954514283234081,0.26504329004329,10,1,sparse-asym-0.01:1; sparse-asym-0.05:2; symmetric-0.3:7,positive-radius:9; prediction-incorrect:1; zero-radius:1
42,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,12,0.5833333333333334,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0.9414474898556066,0.882894979711213,0.38227513227513227,8,4,sparse-asym-0.01:1; sparse-asym-0.02:2; sparse-asym-0.05:4; symmetric-0.3:1,positive-radius:4; prediction-incorrect:4; zero-radius:4
42,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,12,0.5833333333333334,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0.9352032926322943,0.8704065852645887,0.38227513227513227,8,4,sparse-asym-0.01:3; sparse-asym-0.05:4; symmetric-0.3:1,positive-radius:4; prediction-incorrect:4; zero-radius:4
