seed,summary_type,config_branch,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower,mean_lower_margin,failure_reason_counts
7,fixed-config,mainline,clean-training,clean-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.25,0.0,0.5833333333333334,0.0,0,0.6129811857940174,0.22596237158803442,prediction-incorrect:5; zero-radius:7
7,fixed-config,mainline,clean-training,clean-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.5988246044055242,0.19764920881104828,prediction-incorrect:5; zero-radius:7
7,fixed-config,mainline,clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.5833333333333334,0.16666666666666666,0.0,0.4166666666666667,0.16666666666666666,1,0.6125274644151497,0.2250549288302993,positive-radius:2; prediction-incorrect:5; zero-radius:5
7,fixed-config,mainline,clean-training,clean-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.25,0.0,0.5833333333333334,0.0,0,0.6117868596933048,0.22357371938660975,prediction-incorrect:5; zero-radius:7
7,fixed-config,mainline,clean-training,clean-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.0,0,0.5975050706552262,0.19501014131045236,abstained:1; prediction-incorrect:4; zero-radius:7
7,fixed-config,mainline,clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.5833333333333334,0.25,0.0,0.4166666666666667,0.16666666666666666,1,0.615112594371587,0.2302251887431741,positive-radius:2; prediction-incorrect:5; zero-radius:5
7,fixed-config,mainline,clean-training,clean-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.75,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.0,0,0.5926188349384343,0.18523766987686843,abstained:1; prediction-incorrect:4; zero-radius:7
7,fixed-config,mainline,clean-training,clean-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.75,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.6098683770006322,0.2197367540012647,prediction-incorrect:5; zero-radius:7
7,fixed-config,mainline,clean-training,clean-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.75,0.5833333333333334,0.3333333333333333,0.0,0.5,0.08333333333333333,1,0.5975676166585613,0.1951352333171225,positive-radius:1; prediction-incorrect:5; zero-radius:6
7,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8284743596972125,0.6569487193944249,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8334180220998079,0.6668360441996158,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,4,0.8924622576043691,0.7849245152087384,positive-radius:4; prediction-incorrect:8
7,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8406848262854411,0.681369652570882,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8369456365131054,0.6738912730262108,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,4,0.8892221189310345,0.7784442378620691,positive-radius:4; prediction-incorrect:8
7,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.75,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8336344004091819,0.6672688008183636,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.75,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8357966143506464,0.671593228701293,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.75,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,4,0.896173658124029,0.7923473162480583,positive-radius:4; prediction-incorrect:8
7,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.75,0.25,0.0,0.0,0.0,0.25,2,0.9811771485586083,0.9623542971172169,positive-radius:3; prediction-incorrect:9
7,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.75,0.25,0.0,0.0,0.0,0.25,2,0.9811771485586083,0.9623542971172169,positive-radius:3; prediction-incorrect:9
7,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.75,0.25,0.0,0.0,0.0,0.25,5,0.9811771485586083,0.9623542971172169,positive-radius:3; prediction-incorrect:9
