seed,summary_type,config_branch,model_variant,attack_variant,threshold,config_label,mode,purification_operator,purification_threshold,certificate_report_strategy,adaptive_profile,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower,mean_lower_margin,mean_purified_confidence,mean_purified_margin,mean_target_degree,mean_resolved_p_delete,mean_resolved_p_add,mean_resolved_max_additions,failure_reason_counts
7,fixed-config,ablation,clean-training,clean-training,0.01,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.01,rest,,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9677070423562973,0.935414084712595,0.2856815221409003,0.13097226805984974,2.1666666666666665,0.009999999999999998,5e-06,64.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,clean-training,clean-training,0.01,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.01,rest,,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9531878458152638,0.9063756916305281,0.2856815146903197,0.13097226433455944,2.1666666666666665,0.019999999999999997,1e-05,96.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,clean-training,clean-training,0.01,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.01,rest,,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666,0.5,1,0.9483218909038111,0.8966437818076226,0.2856815221409003,0.1309722668180863,2.1666666666666665,0.049999999999999996,2e-05,160.0,positive-radius:6; prediction-incorrect:4; zero-radius:2
7,fixed-config,ablation,clean-training,clean-training,0.02,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.02,rest,,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9696827558052484,0.9393655116104966,0.2856815221409003,0.13097226930161318,2.1666666666666665,0.009999999999999998,5e-06,64.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,clean-training,clean-training,0.02,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.02,rest,,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9605690479959103,0.9211380959918208,0.2856815221409003,0.13097226930161318,2.1666666666666665,0.019999999999999997,1e-05,96.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,clean-training,clean-training,0.02,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.02,rest,,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4166666666666667,0.25,1,0.9380519602397853,0.8761039204795712,0.2856815221409003,0.13097226805984974,2.1666666666666665,0.049999999999999996,2e-05,160.0,positive-radius:3; prediction-incorrect:4; zero-radius:5
7,fixed-config,ablation,clean-training,clean-training,0.05,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.05,rest,,0.01,5e-06,64,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9639307696175665,0.927861539235133,0.34251102556784946,0.19378500431776047,1.4166666666666667,0.009999999999999998,5e-06,64.0,prediction-incorrect:3; zero-radius:9
7,fixed-config,ablation,clean-training,clean-training,0.05,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.05,rest,,0.02,1e-05,96,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9532930847303097,0.9065861694606192,0.34251102556784946,0.19378500431776047,1.4166666666666667,0.019999999999999997,1e-05,96.0,prediction-incorrect:3; zero-radius:9
7,fixed-config,ablation,clean-training,clean-training,0.05,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.05,rest,,0.05,2e-05,160,12,0.75,0.75,0.0,0.0,0.5,0.25,1,0.9303960821029524,0.8607921642059043,0.34251102556784946,0.19378500307599703,1.4166666666666667,0.049999999999999996,2e-05,160.0,positive-radius:3; prediction-incorrect:3; zero-radius:6
7,fixed-config,ablation,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.01,rest,,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9678797651561656,0.9357595303123314,0.39870413144429523,0.23807797580957413,2.4166666666666665,0.009999999999999998,5e-06,64.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.01,rest,,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9529978120259875,0.9059956240519748,0.3987041264772415,0.23807797208428383,2.4166666666666665,0.019999999999999997,1e-05,96.0,prediction-incorrect:4; zero-radius:8
7,fixed-config,ablation,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.01,rest,,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4166666666666667,0.25,1,0.9272177462150215,0.854435492430043,0.39870413144429523,0.23807797332604727,2.4166666666666665,0.049999999999999996,2e-05,160.0,positive-radius:3; prediction-incorrect:4; zero-radius:5
7,fixed-config,ablation,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.02,rest,,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.9640839232295098,0.9281678464590196,0.39870413144429523,0.23807797580957413,2.4166666666666665,0.009999999999999998,5e-06,64.0,prediction-incorrect:4; zero-radius:8
