p_flip,node_idx,degree,degree_bucket,clean_confidence,clean_margin,margin_bucket,predicted_class,true_label,abstained,is_correct,certified_radius,reported_certified_radius,reported_asymmetric_total_radius,reported_asymmetric_delete_budget,reported_asymmetric_add_budget,reported_runner_up_asymmetric_total_radius,smoothed_confidence,pA_lower
0.01,2149,1,0,0.1714380979537964,0.020730584859848022,0,4,3,True,False,0,0,0,0,0,0,0.37,0.22078679978995364
0.01,2255,1,0,0.18131409585475922,0.008382901549339294,0,4,1,True,False,0,0,0,0,0,0,0.43,0.27242084275404527
0.01,2313,2,0,0.17068354785442352,0.004431873559951782,0,1,2,False,False,0,0,0,0,0,0,0.77,0.6095019755144029
0.01,1922,2,0,0.2935769259929657,0.15763846039772034,1,0,0,False,True,0,0,0,0,0,0,0.84,0.6907251344151877
0.01,2403,2,0,0.30109331011772156,0.14637431502342224,1,3,3,True,True,0,0,0,0,0,0,0.55,0.38256716897060894
0.01,2475,2,0,0.29460737109184265,0.14832498133182526,1,0,3,True,False,0,0,0,0,0,0,0.33,0.18773672934620483
0.01,1866,2,0,0.42917388677597046,0.31396134197711945,2,3,3,False,True,0,0,0,0,0,0,0.71,0.5439396004819177
0.01,2315,1,0,0.4482472240924835,0.31316138803958893,2,3,3,False,True,0,0,0,0,0,0,0.91,0.779549516673877
0.01,2488,1,0,0.4410214424133301,0.3117549270391464,2,1,1,False,True,0,0,0,0,0,0,0.92,0.7931872002866512
0.01,1995,4,1,0.1894836574792862,0.024889051914215088,0,4,3,True,False,0,0,0,0,0,0,0.48,0.3172230464612167
0.01,2201,3,1,0.19283708930015564,0.020348355174064636,0,0,0,True,True,0,0,0,0,0,0,0.61,0.4410343127665956
0.01,2654,3,1,0.17908594012260437,0.011954590678215027,0,0,2,False,False,0,0,0,0,0,0,0.67,0.5019027547317253
0.01,1820,3,1,0.3078114092350006,0.17813237011432648,1,3,3,True,True,0,0,0,0,0,0,0.56,0.39215182805830695
0.01,2673,3,1,0.30339574813842773,0.15532942116260529,1,4,4,False,True,0,0,0,0,0,0,0.94,0.8215343089414848
0.01,2682,2,1,0.30368611216545105,0.1534389704465866,1,4,4,False,True,0,0,0,0,0,0,0.81,0.6551874341852844
0.01,1828,4,1,0.4510190188884735,0.3146202862262726,2,0,5,True,False,0,0,0,0,0,0,0.52,0.3541892592735885
0.01,1960,4,1,0.4386470317840576,0.3160039484500885,2,1,5,False,False,0,0,0,0,0,0,0.73,0.5654384336483761
0.01,2576,3,1,0.4382535219192505,0.3252485990524292,2,0,0,False,True,0,0,0,0,0,0,0.96,0.851832311419962
0.01,2195,4,2,0.1936844438314438,0.008668556809425354,0,0,0,False,True,0,0,0,0,0,0,0.67,0.5019027547317253
0.01,2326,4,2,0.20141872763633728,0.004923209547996521,0,1,1,False,True,0,0,0,0,0,0,0.88,0.7402584951597289
0.01,1873,5,2,0.2862834334373474,0.15001171827316284,1,1,3,True,False,0,0,0,0,0,0,0.39,0.23773201486218717
0.01,2295,5,2,0.31276193261146545,0.16602948307991028,1,0,0,True,True,0,0,0,0,0,0,0.64,0.4711555539290124
0.01,1824,8,2,0.43872857093811035,0.31453486531972885,2,1,5,False,False,0,0,0,0,0,0,0.73,0.5654384336483761
0.01,2518,7,2,0.44398993253707886,0.31936177611351013,2,4,4,False,True,0,0,0,0,0,0,0.95,0.8363850074725852
0.02,2149,1,0,0.1714380979537964,0.020730584859848022,0,4,3,True,False,0,0,0,0,0,0,0.43,0.27242084275404527
0.02,2255,1,0,0.18131409585475922,0.008382901549339294,0,4,1,True,False,0,0,0,0,0,0,0.55,0.38256716897060894
0.02,2313,2,0,0.17068354785442352,0.004431873559951782,0,1,2,False,False,0,0,0,0,0,0,0.92,0.7931872002866512
0.02,1922,2,0,0.2935769259929657,0.15763846039772034,1,0,0,False,True,0,0,0,0,0,0,0.71,0.5439396004819177
0.02,2403,2,0,0.30109331011772156,0.14637431502342224,1,4,3,True,False,0,0,0,0,0,0,0.36,0.21241736373269232
