p_flip,degree_bucket,evaluated_nodes,correct_fraction,abstained_fraction,non_abstain_accuracy,positive_certified_accuracy,certified_fraction_on_correct,mean_reported_radius_on_correct,mean_pA_lower,mean_smoothed_confidence
0.01,0,9,0.5555555555555556,0.4444444444444444,0.8,0.0,0.0,0.0,0.49782388535920546,0.6477777777777778
0.01,1,9,0.5555555555555556,0.4444444444444444,0.6,0.0,0.0,0.0,0.5444992988318379,0.6977777777777778
0.01,2,6,0.6666666666666666,0.3333333333333333,0.75,0.0,0.0,0.0,0.5588120433006024,0.71
0.02,0,9,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.4341578045192765,0.5833333333333334
0.02,1,9,0.4444444444444444,0.5555555555555556,0.75,0.0,0.0,0.0,0.48669272537622693,0.6433333333333333
0.02,2,6,0.5,0.5,0.6666666666666666,0.0,0.0,0.0,0.47905195623344765,0.64
0.05,0,9,0.1111111111111111,0.7777777777777778,0.5,0.0,0.0,0.0,0.46553959129055617,0.6177777777777778
0.05,1,9,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.4466074264456458,0.6066666666666667
0.05,2,6,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.5642733201219713,0.715
0.1,0,9,0.1111111111111111,0.5555555555555556,0.25,0.0,0.0,0.0,0.5380989819541744,0.6911111111111112
0.1,1,9,0.2222222222222222,0.5555555555555556,0.25,0.0,0.0,0.0,0.4883614877969216,0.6488888888888888
0.1,2,6,0.16666666666666666,0.16666666666666666,0.2,0.0,0.0,0.0,0.646752760610556,0.7866666666666666
