p_flip,margin_bucket,evaluated_nodes,correct_fraction,abstained_fraction,non_abstain_accuracy,positive_certified_accuracy,certified_fraction_on_correct,mean_reported_radius_on_correct,mean_pA_lower,mean_smoothed_confidence
0.01,0,8,0.375,0.5,0.5,0.0,0.0,0.0,0.45062887273867425,0.61
0.01,1,8,0.75,0.625,1.0,0.0,0.0,0.0,0.4798487715885347,0.6325
0.01,2,8,0.625,0.125,0.7142857142857143,0.0,0.0,0.0,0.6612449703631668,0.8037500000000001
0.02,0,8,0.25,0.75,0.5,0.0,0.0,0.0,0.44450139673040356,0.6012500000000001
0.02,1,8,0.5,0.625,1.0,0.0,0.0,0.0,0.4104639548717637,0.5625
0.02,2,8,0.5,0.375,0.6,0.0,0.0,0.0,0.5402804617053596,0.69625
0.05,0,8,0.125,0.75,0.5,0.0,0.0,0.0,0.4749501572057814,0.6275
0.05,1,8,0.25,0.75,0.5,0.0,0.0,0.0,0.4313071607421354,0.5900000000000001
0.05,2,8,0.375,0.375,0.4,0.0,0.0,0.0,0.543113067096789,0.69625
0.1,0,8,0.125,0.5,0.25,0.0,0.0,0.0,0.5403181768552456,0.68625
0.1,1,8,0.25,0.5,0.25,0.0,0.0,0.0,0.5073715152943112,0.67125
0.1,2,8,0.125,0.375,0.2,0.0,0.0,0.0,0.5921429067783432,0.74
