epoch,loss,train,val,test,variant,noise_mode,noise_p_delete,noise_p_add,noise_max_additions
1,1.9457545280456543,0.37857142857142856,0.356,0.389,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
2,1.9377307891845703,0.6,0.376,0.445,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
3,1.9319031238555908,0.7642857142857142,0.416,0.466,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
4,1.9212539196014404,0.8142857142857143,0.468,0.505,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
5,1.9079160690307617,0.8642857142857143,0.538,0.585,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
6,1.8958156108856201,0.9,0.614,0.656,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
7,1.8821061849594116,0.9142857142857143,0.65,0.703,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
8,1.8760308027267456,0.9142857142857143,0.68,0.715,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
9,1.851227879524231,0.9214285714285714,0.7,0.72,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
10,1.8328275680541992,0.95,0.708,0.728,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
11,1.8139417171478271,0.9571428571428572,0.702,0.716,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
12,1.8059453964233398,0.9571428571428572,0.698,0.715,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
13,1.7751394510269165,0.9571428571428572,0.708,0.724,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
14,1.766646385192871,0.9642857142857143,0.718,0.736,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
15,1.7482980489730835,0.95,0.736,0.751,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
16,1.713274359703064,0.9571428571428572,0.742,0.759,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
17,1.688596248626709,0.9571428571428572,0.748,0.767,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
18,1.6593685150146484,0.9571428571428572,0.752,0.771,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
