p_delete,p_add,radius_type,radius,certified_nodes,evaluated_nodes,certified_accuracy,certified_accuracy_ci_lower,certified_accuracy_ci_upper
0.02,1e-05,total,0,1,2,0.5,0.09452865480086611,0.905471345199134
0.02,1e-05,total,1,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,total,2,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,total,3,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,total,4,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,total,5,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,total,6,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,total,7,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,total,8,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,total,9,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,total,10,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,deletion_only,0,1,2,0.5,0.09452865480086611,0.905471345199134
0.02,1e-05,deletion_only,1,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,deletion_only,2,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,deletion_only,3,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,deletion_only,4,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,deletion_only,5,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,addition_only,0,1,2,0.5,0.09452865480086611,0.905471345199134
0.02,1e-05,addition_only,1,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,addition_only,2,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,addition_only,3,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,addition_only,4,0,2,0.0,0.0,0.6576280471103807
0.02,1e-05,addition_only,5,0,2,0.0,0.0,0.6576280471103807
