p_flip,degree_bucket,evaluated_nodes,correct_fraction,abstained_fraction,non_abstain_accuracy,positive_certified_accuracy,certified_fraction_on_correct,mean_reported_radius_on_correct,mean_pA_lower,mean_smoothed_confidence
0.01,0,9,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.5838158438566422,0.7311111111111112
0.01,1,9,0.4444444444444444,0.5555555555555556,0.25,0.0,0.0,0.0,0.44716714906733646,0.6111111111111112
0.01,2,6,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,0.5019224664468728,0.6633333333333333
0.02,0,9,0.3333333333333333,0.1111111111111111,0.375,0.0,0.0,0.0,0.7021191613072644,0.8366666666666667
0.02,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.7262545760612681,0.8666666666666666
0.02,2,6,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.7954743397484728,0.9183333333333333
0.05,0,9,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.8812930075470025,0.9700000000000001
0.05,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.9222038068243924,0.9977777777777779
0.05,2,6,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.9268078424558298,1.0
0.1,0,9,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.9243169587302551,0.9988888888888889
0.1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.9268078424558299,1.0
0.1,2,6,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.9268078424558298,1.0
