p_flip,margin_bucket,evaluated_nodes,correct_fraction,abstained_fraction,non_abstain_accuracy,positive_certified_accuracy,certified_fraction_on_correct,mean_reported_radius_on_correct,mean_pA_lower,mean_smoothed_confidence
0.01,0,8,0.25,0.125,0.2857142857142857,0.0,0.0,0.0,0.603101956355221,0.7612500000000001
0.01,1,8,0.5,0.75,0.5,0.0,0.0,0.0,0.399041819536687,0.565
0.01,2,8,0.875,0.625,1.0,0.0,0.0,0.0,0.5341539409827225,0.68125
0.02,0,8,0.25,0.0,0.25,0.0,0.0,0.0,0.8071527475272068,0.9275000000000001
0.02,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.7066319805897133,0.85
0.02,2,8,0.25,0.125,0.2857142857142857,0.0,0.0,0.0,0.6897414812340338,0.8274999999999999
0.05,0,8,0.25,0.0,0.25,0.0,0.0,0.0,0.9268078424558298,1.0
0.05,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9114823348781204,0.9924999999999999
0.05,2,8,0.125,0.0,0.125,0.0,0.0,0.0,0.8857496206757415,0.97125
0.1,0,8,0.25,0.0,0.25,0.0,0.0,0.0,0.9268078424558298,1.0
0.1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9268078424558298,1.0
0.1,2,8,0.125,0.0,0.125,0.0,0.0,0.0,0.9240055982645582,0.99875
